"上げる","あげる","表示动作的彻底完成，强调最终成果的产出。","動詞のマス形＋上げる","やっとレポートをかきあげた。","やっとレポートを書き上げた。","终于写完了报告。","ひとばんでセーターをあみあげた。","一晩でセーターを編み上げた。","用一个晚上织好了毛衣。"
"だらけ","だらけ","意为“沾满了...、充满了...”，主要用于描述布满不好的东西的状态。","名詞＋だらけ","あそびからかえってきたこどものふくはどろだらけだった。","遊びから帰ってきた子供の服は泥だらけだった。","从外面玩回来的孩子的衣服上满是泥。","このへやはほこりだらけだ。","この部屋はほこりだらけだ。","这个房间里全是灰尘。"
"どんなに～ても","どんなに～ても","假设极端条件，意为“即使非常...”，并表示结果不会因此改变。","どんなに＋動詞のて形/い形容詞の「くて」形/な形容詞の「で」形＋も","どんなにこんなんでも、あきらめない。","どんなに困難でも、諦めない。","无论多么困难，我也不放弃。","どんなにいそがしくても、しょくじはちゃんととります。","どんなに忙しくても、食事はちゃんと取ります。","无论多忙，我都会好好吃饭。"
"どうしても","どうしても","表示“无论如何、想尽办法也想...”的强烈意愿或愿望。在否定句中则表示“怎么也（做不到）”。","副詞として文中で使う","どうしてもそのコンサートにいきたい。","どうしてもそのコンサートに行きたい。","我无论如何都想去那个演唱会。","どうしてもパスワードがおもいだせない。","どうしてもパスワードが思い出せない。","怎么也想不起密码。"
"ふりをする","ふりをする","意为“明明不是那样，却表现出那样的外表或态度”。","名詞修飾形（普通形）＋ふりをする","かれはしっているのに、しらないふりをしている。","彼は知っているのに、知らないふりをしている。","他明明知道，却在装作不知道。","かのじょはねたふりをした。","彼女は寝たふりをした。","她假装睡着了。"
"ふと","ふと","表示没有预料到，突然地想到某个念头或做出某个举动。","副詞として文中で使う","ふと、こどものころをおもいだした。","ふと、子供の頃を思い出した。","猛然间想起了小时候的事情。","みちをあるいていると、ふとあしがとまった。","道を歩いていると、ふと足が止まった。","走在路上，突然停下了脚步。"
"がち","がち","表示“有某种倾向”，多用于不好的倾向。","動詞のマス形/名詞＋がち","かれはさいきんびょうきがちだ。","彼は最近病気がちだ。","他最近动不动就生病。","わたしはふゆになるとかぜをひきがちです。","私は冬になると風邪をひきがちです。","我一到冬天就容易感冒。"
"がたい","がたい","表示“心理上感到抗拒，很难做某事”。与表示物理上困难的「にくい」不同，「がたい」侧重于心理上的困难。","動詞のマス形＋がたい","かれがしたことは、しんじがたいことだ。","彼がしたことは、信じがたいことだ。","他做的事令人难以置信。","それはすてがたいみりょくがある。","それは捨てがたい魅力がある。","那个东西有令人难以割舍的魅力。"
"気味","ぎみ","表示“稍微感觉到...、有点...的倾向”，主要用于描述不太好的暂时性状态。","動詞のマス形/名詞＋気味","さいきん、ちょっとつかれぎみだ。","最近、ちょっと疲れ気味だ。","最近感觉有点累。","しんじんしゃいんはすこしきんちょうぎみのかおをしていた。","新入社員は少し緊張気味の顔をしていた。","新员工的脸上带着些许紧张的神色。"
"ごとに","ごとに","表示“每逢...、每一次”，指以一定的间隔或单位重复同样的事情。","名詞/動詞の辞書形＋ごとに","このバスはじゅっぷんごとにきます。","このバスは10分ごとに来ます。","这趟公交车每10分钟来一班。","オリンピックはよねんごとにかいさいされる。","オリンピックは4年ごとに開催される。","奥运会每四年举办一次。"
"ほど","ほど","用于表示程度，与「くらい」相似，但常用于强调程度之深。","名詞/動詞の辞書形＋ほど","しぬほどつかれた。","死ぬほど疲れた。","累得要死。","かれほどしんせつなひとはいない。","彼ほど親切な人はいない。","没有像他那么亲切的人了。"
"ほど～ない","ほど～ない","以“AはBほど～ない”的形式，通过设定比较基准B来否定A的程度，意为“A未达到B的水平”。","名詞＋ほど＋動詞・形容詞の否定形","ことしのなつはきょねんほどあつくない。","今年の夏は去年ほど暑くない。","今年的夏天不像去年那么热。","わたしはあなたほどじょうずにうたえません。","私はあなたほど上手に歌えません。","我没法唱得像你那么好。"
"一度に","いちどに","意为“同时、一次性地”。","副詞として文中で使う","いちどにおおくのことをおぼえるのはむずかしい。","一度に多くのことを覚えるのは難しい。","一次性记住很多东西是很难的。","かれはいちどにラーメンをさんばいたべた。","彼は一度にラーメンを三杯食べた。","他一下子吃了三碗拉面。"
"いくら～ても","いくら～ても","假设程度之高，意为“即使无论怎么...”，并表示结果不会因此改变。与「どんなに～ても」几乎相同。","いくら＋動詞のて形/い形容詞の「くて」形/な形容詞の「で」形＋も","いくらよんでも、へんじがない。","いくら呼んでも、返事がない。","无论怎么喊，都没有回应。","いくらべんきょうしても、せいせきがあがらない。","いくら勉強しても、成績が上がらない。","无论怎么学习，成绩都提不高。"
"一方だ","いっぽうだ","表示某种变化朝一个方向持续不断地发展，多用于不好的变化。","動詞の辞書形＋一方だ","さいきん、そふのからだはよわるいっぽうだ。","最近、祖父の体は弱る一方だ。","最近，祖父的身体越来越差。","このくにのじんこうはへるいっぽうだ。","この国の人口は減る一方だ。","这个国家的人口在不断减少。"
"一体","いったい","与疑问词（何、誰、どこ等）连用，表达强烈的疑问，有时也带有责难的语气，意为“到底、究竟”。","一体＋疑問詞","いったいなにがあったのですか。","一体何があったのですか。","到底发生什么事了？","かのじょはいったいどこへいってしまったんだろう。","彼女は一体どこへ行ってしまったんだろう。","她到底去哪儿了呢？"
"じゃない","じゃない","是「～ではないか」的口语形式，用于向对方寻求同意，或表达意外、发现时的心情。","普通形＋じゃない","これ、すごくおいしいじゃない。","これ、すごく美味しいじゃない。","这个，不是很好吃嘛！","かれ、くるっていってたじゃない。なんでこないの。","彼、来るって言ってたじゃない。なんで来ないの。","他不是说了要来吗？怎么还没来？"
"か何か","かなにか","避免断定，通过举出一个例子来模糊地表达“...之类的东西”。","名詞＋か何か","おちゃかなにかのみませんか。","お茶か何か飲みませんか。","要不要喝点茶或者别的什么？","かれはかぜかなにかで、がっこうをやすんだらしい。","彼は風邪か何かで、学校を休んだらしい。","他好像因为感冒什么的请假了。"
"かける","かける","表示“开始做某事但中途停止”或“还没做完”，指动作进行到一半。","動詞のマス形＋かける","よみかけのほんがたくさんある。","読みかけの本がたくさんある。","有很多读了一半的书。","かのじょはなにかいいかけて、やめた。","彼女は何か言いかけて、やめた。","她话说到一半又不说了。"
"から〜にかけて","から〜にかけて","与「～から～まで」相似，但表示起点和终点不明确的大致范围。","名詞（時間・場所）＋から＋名詞＋にかけて","さくやからけさにかけて、おおあめがふった。","昨夜から今朝にかけて、大雨が降った。","从昨晚到今天早上，下了大雨。","かんとうからとうほくにかけて、つよいじしんがあった。","関東から東北にかけて、強い地震があった。","从关东到东北地区，发生了强烈地震。"
"代わりに","かわりに","表示“代替A做B”的代理关系，或“不做A而做B”的补偿、交换关系。","名詞＋の＋代わりに / 動詞の辞書形＋代わりに","わたしがかいものにいくかわりに、へやのそうじをして。","私が買い物に行く代わりに、部屋の掃除をして。","我替你去买东西，你来打扫房间吧。","ちちのかわりに、わたしがかいぎにしゅっせきします。","父の代わりに、私が出席します。","我代替父亲出席会议。"
"結果","けっか","明确地表示因果关系，意为“由于做了某事，得出了这样的结论”。","動詞のタ形/名詞＋の＋結果","どりょくしたけっか、しけんにごうかくした。","努力した結果、試験に合格した。","努力的结果是，通过了考试。","ちょうさのけっか、もんだいはないことがわかった。","調査の結果、問題はないことがわかった。","调查的结果是，明白了没有问题。"
"結局","けっきょく","叙述最终的结论，意为“虽然过程曲折，但最终变成了这样”。","副詞として文頭や文中で使う","いろいろなやんだが、けっきょく、りゅうがくをあきらめた。","いろいろ悩んだが、結局、留学を諦めた。","烦恼了很久，但最终还是放弃了留学。","かれらはけんかしたが、けっきょくなかなおりした。","彼らは喧嘩したが、結局仲直りした。","他们虽然吵了架，但最后还是和好了。"
"決して～ない","けっして～ない","是书面化的表达，表示“绝对不...”的强烈否定意志或判断。","決して＋動詞・い形容詞・な形容詞・名詞の否定形","わたしはけっしてあなたをうらぎらない。","私は決してあなたを裏切らない。","我决不会背叛你。","このひみつはけっしてひとにいってはいけない。","この秘密は決して人に言ってはいけない。","这个秘密决不能告诉别人。"
"切れない","きれない","意为“因为太多，无法全部做完”，是「～切る（全部做完）」的否定或可能形式。","動詞のマス形＋切れない","ごはんがおおすぎて、たべきれない。","ご飯が多すぎて、食べきれない。","饭太多了，吃不完。","かれのかんしゃのきもちは、ことばではあらわしきれない。","彼の感謝の気持ちは、言葉では表しきれない。","他的感谢之情，无法用言语表达完。"
"きり","きり","表示强烈的限定，意为“只有...”，比「だけ」的限定语气更强。","名詞/動詞のタ形＋きり","ふたりきりではなしたいことがあります。","二人きりで話したいことがあります。","有些话想只和你两个人谈。","かれはさんねんまえにいえをでたきり、いちどもかえってこない。","彼は三年前の家に家を出たきり、一度も帰ってこない。","他自从三年前离家后，就再也没回来过。"
"切る","きる","表示“完全做完、彻底做完”，指将动作进行到底，或完全变成某种状态。","動詞のマス形＋切る","マラソンをさいごまではしりきった。","マラソンを最後まで走り切った。","坚持跑完了马拉ソン全程。","かれはつかれたようなかおをしていた。","彼は疲れ切ったような顔をしていた。","他一脸筋疲力尽的样子。"
"っけ","っけ","是口语化的表达，用于向他人确认自己忘记或不确定的事情，也用于自言自语。","普通形（タ形が多い）＋っけ","きょうのかいぎ、なんじからだっけ？","今日の会議、何時からだっけ？","今天的会是几点来着？","あれ、きのうかぎ、どこにおいたっけ？","あれ、昨日鍵、どこに置いたっけ？","咦，昨天我把钥匙放哪儿了来着？"
"込む","こむ","原意是“进入”，引申为深入地、仔细地进行某个动作。","動詞のマス形＋込む","かれはふかくかんがえこんでいる。","彼は深く考え込んでいる。","他陷入了沉思。","しずかなカフェでほんをよみこんだ。","静かなカフェで本を読み込んだ。","在安静的咖啡馆里深入地阅读了书籍。"
"こそ","こそ","用于强烈地强调特定的事物，意为“正是、才是”。","名詞/動詞のて形＋こそ","こんどこそ、ぜったいにごうかくするぞ。","今度こそ、絶対に合格するぞ。","这次我一定要考合格。","どりょくしてこそ、せいうがえられる。","努力してこそ、成果が得られる。","正因为努力，才能获得成果。"
"こと","こと","用于句末，是表示规则、指示、命令等的书面化表达，比「～なさい」更正式、客观。","動詞の辞書形/ない形＋こと","ろうかでははしらないこと。","廊下では走らないこと。","走廊里不准跑步。","なんてすばらしいけしきなことか。","なんて素晴らしい景色なことか。","多么美丽的景色啊！"
"ことから","ことから","用于说明名称的由来或判断的根据、契机，意为“从...这件事来看”。","名詞修飾形（普通形）＋ことから","ふじさんがみえることから、このまちはふじみちょうとつけられた。","富士山が見えることから、この町は富士見町と名付けられた。","因为能看到富士山，这个镇被命名为富士见町。","かれがいつもほんをよんでいることから、みんなはかれをはかせとよぶ。","彼がいつも本を読んでいることから、みんなは彼を博士と呼ぶ。","因为他总是在读书，所以大家都叫他博士。"
"ことになっている","ことになっている","表示规定、法律、社会习惯或预定就是如此，与说话人的意志无关。","動詞の辞書形/ない形＋ことになっている","このがっこうでは、せいふくをきることになっている。","この学校では、制服を着ることになっている。","这所学校规定要穿校服。","らいげつ、おおさかへしゅっちょうすることになっている。","来月、大阪へ出張することになっている。","下个月已经定好要去大阪出差。"
"ことはない","ことはない","意为“没必要...、不...也没关系”，常用于安慰或让对方安心时。","動詞の辞書形＋ことはない","しっぱいしても、そんなにおちこむことはないよ。","失敗しても、そんなに落ち込むことはないよ。","即使失败了，也没必要那么失落。","じかんはまだあるから、いそぐことはない。","時間はまだあるから、急ぐことはない。","时间还有，没必要着急。"
"ことは～が","ことは～が","用于先承认前项事实，然后引出与之相反或存在问题点的后项，意为“虽然...但是...”。","動詞の普通形＋ことは＋同じ動詞の活用形＋が","このくすりはきくことはきくが、ふくさようがつよい。","この薬は効くことは効くが、副作用が強い。","这个药有效是有效，但是副作用很强。","いくことはいったが、かれにはあえなかった。","行くことは行ったが、彼には会えなかった。","去是去了，但是没能见到他。"
"ぐらい","くらい","与「ほど」相似，用于表示程度或数量，但更口语化，意为“大约...”，表示大致的基准。","名詞/動詞の辞書形＋ぐらい","まいあさ、30ぷんぐらいジョギングをします。","毎朝、30分ぐらいジョギングをします。","每天早上慢跑30分钟左右。","しぬぐらいつかれた。","死ぬぐらい疲れた。","累得要死。"
"くせに","くせに","与「～のに」相似，但带有说话者强烈的责难或轻蔑的语气，意为“明明有...的立场/能力，却做出不相称的事”。","名詞修飾形（普通形）＋くせに","しっているくせに、おしえてくれない。","知っているくせに、教えてくれない。","明明知道却不告诉我。","こどものくせになまいきなことをいうな。","子供のくせに生意気なことを言うな。","明明是个孩子，别说这么狂妄的话。"
"まるで","まるで","用于打比方，意为“简直就像...”，常与「～のようだ」「～みたいだ」连用。","まるで＋名詞＋のようだ / まるで＋動詞の普通形＋かのようだ","そらはまるでみずであらったようにあおい。","空はまるで水で洗ったように青い。","天空蓝得仿佛被水洗过一样。","かれはまるでなんでもしっているかのようにふるまう。","彼はまるで何でも知っているかのように振る舞う。","他表现得好像什么都知道似的。"
"まさか","まさか","表示“不可能...”的难以置信的心情或强烈的否定性推测，后面常跟「～とは思わなかった」等否定性推测。","副詞として文頭で使う","まさかかれがはんにんだとはおもわなかった。","まさか彼が犯人だとは思わなかった。","真没想到他会是犯人。","まさか、このしけんにふごうかくになるなんて。","まさか、この試験に不合格になるなんて。","怎么会，这次考试竟然不及格。"
"めったに～ない","めったに～ない","表示频率极低，意为“几乎不...、很少...”。","めったに＋動詞の否定形","わたしはめったにおさけをのまない。","私はめったにお酒を飲まない。","我很少喝酒。","こんなチャンスはめったにないよ。","こんなチャンスはめったにないよ。","这样的机会可是千载难逢啊。"
"も～ば～も","も～ば～も","用于并列叙述多个事物，意为“既...又...”，比「～も～し、～も～し」更书面化。","名詞＋も＋動詞の仮定形＋ば＋名詞＋も＋動詞の辞書形","かれはピアノもひければ、うたもうたえる。","彼はピアノも弾ければ、歌も歌える。","他既会弹钢琴，又会唱歌。","このへやはひあたりもよければ、ながめもいい。","この部屋は日当たりもよければ、眺めもいい。","这个房间既采光好，风景也好。"
"もしかしたら","もしかしたら","表示可能性低的推测，意为“也许、说不定”，常与「～かもしれない」连用。","副詞として文頭で使う","もしかしたら、あしたはあめがふるかもしれない。","もしかしたら、明日は雨が降るかもしれない。","说不定明天会下雨。","もしかしたら、かれはもうかえったのかもしれない。","もしかしたら、彼はもう帰ったのかもしれない。","或许他已经回去了。"
"もしも〜たら","もしも〜たら","是「もし～たら」的强调形式，用于表达实现可能性低的假定或带有强烈愿望的假定。","もしも＋動詞・い形容詞・な形容詞・名詞のタラ形","もしもいちおくえんあたったら、いえをかう。","もしも一億円当たったら、家を買う。","如果中了一亿日元，我就买房子。","もしもとりになれたら、そらをとびたい。","もしも鳥になれたら、空を飛びたい。","如果能变成鸟，我想在天空飞翔。"
"向け","むけ","表示“以...为对象而特别制作的”，指存在明确的目标群体。","名詞＋向け","これはこどもむけにかかれたほんだ。","これは子供向けに書かれた本だ。","这是面向儿童写的书。","がいこくじんむけのガイドブックです。","外国人向けのガイドブックです。","这是面向外国人的指南。"
"向き","むき","表示“适合...的性质或喜好”。「向け」表示制作者的意图，而「向き」则客观地描述对象的性质是否合适。","名詞＋向き","このデザインはじょせいむきだ。","このデザインは女性向きだ。","这个设计适合女性。","かるいスポーツはこうれいしゃむきです。","軽いスポーツは高齢者向きです。","轻量运动适合高龄人士。"
"むしろ","むしろ","用于比较两者，表示“与A相比，B更好或更合适”。","接続詞として使う","わたしはさむいより、むしろあついほうがすきだ。","私は寒いより、むしろ暑いほうが好きだ。","比起冷，我反倒更喜欢热。","かれにあやまるくらいなら、むしろしんだほうがましだ。","彼に謝るくらいなら、むしろ死んだほうがましだ。","与其向他道歉，我宁可死掉算了。"
"ながらも","ながらも","与「～のに」同为逆接，但更书面化，意为“尽管处于...的状态”。","動詞のマス形/名詞/な形容詞＋ながらも","せまいながらも、わがやがいちばんおちつく。","狭いながらも、我が家が一番落ち着く。","虽然很窄，但自己家还是最让人安心。","ざんねんながらも、けっかについてはみとめなければならない。","残念ながらも、結果については認めなければならない。","虽然很遗憾，但也不得不承认这个结果。"
"ないことはない","ないことはない","是双重否定，表示弱肯定，意为“并非不...、也不是不...”。","動詞・い形容詞・な形容詞のナイ形＋ことはない","なっとうはたべないことはないですが、あまりすきではありません。","納豆は食べないことはないですが、あまり好きではありません。","纳豆不是不吃，但不太喜欢。","このもんだいはむずかしいが、できないことはない。","この問題は難しいが、できないことはない。","这个问题虽然难，但也不是做不出来。"
"ないと","ないと","是「～なければならない」的口语形式，表示义务或必要性。","動詞のナイ形＋と","そろそろかえらないと。","そろそろ帰らないと。","差不多该回去了。","あしたははやくおきないと。","明日は早く起きないと。","明天必须早起。"
"なかなか","なかなか","在肯定句中表示程度高，“相当、很”；在否定句中表示事情难以实现，“怎么也（不）...”。","副詞として文中で使う","このもんだいはなかなかむずかしい。","この問題はなかなか難しい。","这个问题相当难。","バスがなかなかこない。","バスがなかなか来ない。","公交车怎么也等不来。"
"直す","なおす","表示“重新、再次正确地做某事”，含有因原状态不佳而重新做的意思。","動詞のマス形＋直す","このさくぶんは、もういちどかきなおしてください。","この作文は、もう一度書き直してください。","这篇作文请重写一遍。","まちがえたところをみなおす。","間違えたところを見直す。","重新看一下做错了的地方。"
"なるべく","なるべく","与「できるだけ」意思相同，但带有更强的努力目标的语气，意为“在可能的范围内最大限度地”。","副詞として文中で使う","なるべくはやくきてください。","なるべく早く来てください。","请尽量早点来。","なるべくやすさいをたべるようにしている。","なるべく野菜を食べるようにしている。","我努力做到尽量多吃蔬菜。"
"なぜなら","なぜなら","是陈述理由时的书面化表达，常与「～からだ」一同结束句子。","接続詞として文頭で使う","らいしゅうはかいぎをけっせきします。なぜなら、しゅっちょうするからです。","来週は会議を欠席します。なぜなら、出張するからです。","下周的会议我缺席。要说为什么，因为我要出差。","かれはしんようできる。なぜなら、うそをついたことがないからだ。","彼は信用できる。なぜなら、嘘をついたことがないからだ。","他值得信赖。因为他从未说过谎。"
"んだって","んだって","是「～のだそうだ」的口语化表达，表示传闻（听来的消息）。","普通形＋んだって","やまださん、らいげつけっこんするんだって。","山田さん、来月結婚するんだって。","听说山田下个月要结婚了。","きのうのしあい、Aチームがかったんだって。","昨日の試合、Aチームが勝ったんだって。","听说昨天的比赛，A队赢了。"
"に違いない","にちがいない","表示说话者根据状况判断，对此有强烈的确信，意为“肯定是...、一定是...”。","名詞・動詞/い形容詞/な形容詞の普通形＋に違いない","あのあかりはたなかさんのへやにちがいない。","あの明かりは田中さんの部屋に違いない。","那个灯光一定是田中先生的房间。","あれだけどりょくしたのだから、かれはごうかくするにちがいない。","あれだけ努力したのだから、彼は合格するに違いない。","他那么努力了，肯定能考上。"
"に反して","にはんして","意为“与...相反、与...的期待或预想不同”。","名詞＋に反して","よそうにはんして、しけんはとてもかんたんだった。","予想に反して、試験はとても簡単だった。","和预想的相反，考试非常简单。","おやのきたいにはんして、かれはだいがくへいかなかった。","親の期待に反して、彼は大学へ行かなかった。","与父母的期待相反，他没有去上大学。"
"にかけて","にかけて","用于强调在特定领域的卓越能力，意为“在...方面（是第一）”。","名詞＋にかけては","かれはスポーツにかけては、だれにもまけない。","彼はスポーツにかけては、誰にも負けない。","他在运动方面，不输给任何人。","あしのはやさにかけては、かれがクラスでいちばんだ。","足の速さにかけては、彼がクラスで一番だ。","论跑步速度，他在班里第一。"
"に比べて","にくらべて","用于比较两事物间的差异，与「～より」相似，但多用于更客观或基于数据的比较。","名詞＋に比べて","とうきょうはおおさかにくらべて、ぶっかがたかい。","東京は大阪に比べて、物価が高い。","东京和大阪相比，物价更高。","ことしはきょねんにくらべて、あめがおおい。","今年は去年に比べて、雨が多い。","今年和去年相比，雨水多。"
"に慣れる","になれる","表示起初不适应或困难的事情，通过反复经历后变得习以为常。","名詞/動詞の辞書形＋の＋に慣れる","にほんのせいかつにもうなれましたか。","日本の生活にもう慣れましたか。","已经习惯日本的生活了吗？","さいしょはたいへんだったが、このしごとにもなれてきた。","最初は大変だったが、この仕事にも慣れてきた。","虽然一开始很辛苦，但也逐渐习惯这份工作了。"
"にしたがって","にしたがって","表示A变化的同时，B也随之成比例地变化，多用于因果关系较明确的场合。","名詞/動詞の辞書形＋にしたがって","しけんがちかづくにしたがって、きんちょうしてきた。","試験が近づくにしたがって、緊張してきた。","随着考试临近，我开始紧张起来。","きたへいくにしたがって、きおんがさがっていく。","北へ行くにしたがって、気温が下がっていく。","越往北走，气温就越低。"
"にしても","にしても","表示即使假设或承认某事，仍然要陈述自己的观点，意为“就算是...、即使...”。","名詞・動詞/い形容詞/な形容詞の普通形＋にしても","いくにしても、もうすこしあとでいこう。","行くにしても、もう少し後で行こう。","就算是去，也再晚点去吧。","どんなりゆうがあるにしても、ひとをきずつけるのはよくない。","どんな理由があるにしても、人を傷つけるのはよくない。","无论有什么理由，伤害别人都是不对的。"
"にしては","にしては","表示从某个基准来看，结果出乎意料，即基准与实际结果有差距。","名詞/動詞の普通形＋にしては","はじめてにしては、じょうずにできましたね。","初めてにしては、上手にできましたね。","作为第一次而言，做得算很好了。","こどもにしては、むずかしいほんをよんでいる。","子供にしては、難しい本を読んでいる。","作为一个孩子来说，他读的书算是很难的了。"
"に対して","にたいして","用于指示对象，意为“向着...、以...为对手”。也用于明确对比。","名詞＋に対して","おきゃくさまにたいして、しつれいなたいどをとってはいけない。","お客様に対して、失礼な態度をとってはいけない。","对客人不可以采取失礼的态度。","おとうとはかつっぱつなのにたいして、あにはおとなしい。","弟は活発なのに対して、兄は大人しい。","弟弟很活泼，与此相对，哥哥很文静。"
