"げっそり",げっそり,"副詞・サ変動詞","","(因生病、劳累)急剧消瘦","病気で入院して、げっそりと痩せてしまった。"
"こつこつ",こつこつ,"副詞","","勤奋努力，孜孜不倦","彼はこつこつと研究を続けている。"
"ごろごろ",ごろごろ,"副詞・サ変動詞","","无所事事地闲呆着，懒散度日","休みの日は家でごろごろしていることが多い。"
"さっさと",さっさと,"副詞","","赶快，迅速地","さっさと宿題を終わらせて遊びに行こう。"
"じろじろ",じろじろ,"副詞","","目不转睛地盯着看（多含不礼貌之意）","人をじろじろ見るのは失礼だ。"
"すくすく",すくすく,"副詞","","(孩子、植物等)茁壮成长","息子はすくすくと元気に育っている。"
"すやすや",すやすや,"副詞","","安详地，香甜地（形容婴儿睡觉）","赤ちゃんがすやすやと眠っている。"
"せかせか",せかせか,"副詞・サ変動詞","","急急忙忙，慌慌张张","彼はいつもせかせかしていて、落ち着きがない。"
"てきぱき",てきぱき,"副詞","","麻利，利索","彼女は家事をてきぱきとこなす。"
"のろのろ",のろのろ,"副詞・サ変動詞","","慢吞吞地，迟缓地","前の車がのろのろ運転しているので、渋滞している。"
"ぶらぶら",ぶらぶら,"副詞・サ変動詞","","闲逛，溜达","週末はよく公園をぶらぶら散歩する。"
"よろよろ",よろよろ,"副詞・サ変動詞","","摇摇晃晃，站不稳","酔っ払いがよろよろと歩いている。"
"ぐったり",ぐったり,"副詞・サ変動詞","","精疲力尽，动弹不得","暑さでぐったりして、何もする気になれない。"
"すたすた",すたすた,"副詞","","(头也不回)快步地走","彼は怒ってすたすたと部屋を出て行った。"
"がたがた",がたがた,"形容動詞・サ変動詞","","摇晃，不稳固；发抖","古い机なので、少し触るだけでがたがたする。"
"からから",からから,"形容動詞","","干透，干巴巴；空荡荡","喉がからからだ。水が飲みたい。"
"がんがん",がんがん,"副詞・サ変動詞","","(头)剧痛；(声音)震耳欲聋","二日酔いで頭ががんがんする。"
"ぎっしり",ぎっしり,"副詞","","满满地，塞得紧紧的","本棚には本がぎっしりと詰まっている。"
"ぐちゃぐちゃ",ぐちゃぐちゃ,"形容動詞","","乱七八糟，一塌糊涂","地震で部屋の中がぐちゃぐちゃになった。"
"すっきり",すっきり,"副詞・サ変動詞","","清爽，舒畅；简洁","シャワーを浴びたら、気分がすっきりした。"
"ばらばら",ばらばら,"形容動詞","","分散，零乱，不成整体","家族がばらばらに暮らしている。"
"びっしょり",びっしょり,"副詞","","湿透","急な雨に降られて、服がびっしょり濡れた。"
"ぼろぼろ",ぼろぼろ,"形容動詞","","破破烂烂，破旧不堪","この本は古くてもうぼろぼろだ。"
"めちゃくちゃ",めちゃくちゃ,"形容動詞","","乱七八糟，一塌糊涂","彼の話はめちゃくちゃで、意味が分からなかった。"
"ぴかぴか",ぴかぴか,"形容動詞・副詞","","闪闪发光，崭新","新車を買って、毎日ぴかぴかに磨いている。"
"ひそひそ",ひそひそ,"副詞","","窃窃私语，偷偷摸摸","二人が何かひそひそと話している。"
"がらがら",がらがら,"形容動詞","","(场所)空荡荡；(声音)嘎啦嘎啦","平日の昼間なので、映画館はがらがらだった。"
"だぶだぶ",だぶだぶ,"形容動詞・サ変動詞","","(衣服)肥大，不合身","このズボンはウエストがだぶだぶだ。"
"がやがや",がやがや,"副詞・サ変動詞","","吵闹，喧哗","教室の中ががやがやしていて、先生の声が聞こえない。"
"ぺちゃくちゃ",ぺちゃくちゃ,"副詞","","喋喋不休，唠叨","彼女たちはいつまでもぺちゃくちゃおしゃべりしている。"
"ぺらぺら",ぺらぺら,"形容動詞","","(外语)流利；滔滔不绝","彼は日本語がぺらぺらだ。"
"もごもご",もごもご,"副詞","","(在口中)含糊不清地说话","口に食べ物を入れたまま、もごもご話すな。"
"ごちゃごちゃ",ごちゃごちゃ,"副詞・サ変動詞","","乱七八糟地说，啰嗦","ごちゃごちゃ言わずに、結論を話しなさい。"
"がんがん",がんがん,"副詞・サ変動詞","","(头)嗡嗡作痛，剧痛","ストレスで頭ががんがんする。"
"ずきずき",ずきずき,"副詞・サ変動詞","","(伤口等)一跳一跳地痛，阵痛","虫歯がずきずき痛む。"
"ちくちく",ちくちく,"副詞・サ変動詞","","针扎似的刺痛","このセーターは首がちくちくする。"
"ひりひり",ひりひり,"副詞・サ変動詞","","(烫伤、晒伤等)火辣辣地疼","日焼けして背中がひりひりする。"
"じんじん",じんじん,"副詞・サ変動詞","","(麻木后恢复时)发麻，刺痛","寒い外から戻ると、手足がじんじんする。"
"むずむず",むずむず,"副詞・サ変動詞","","(身体)发痒；急切地想做某事","花粉症で鼻がむずむずする。"
"ざあざあ",ざあざあ,"副詞","","(雨)哗啦哗啦下","雨がざあざあ降っている。"
"しとしと",しとしと,"副詞","","(雨)淅淅沥沥地下","春雨がしとしとと降る。"
"じめじめ",じめじめ,"副詞・サ変動詞","","潮湿，湿漉漉","梅雨の季節は部屋がじめじめする。"
"ぎらぎら",ぎらぎら,"副詞・サ変動詞","","(太阳)晃眼地照耀，闪耀","夏の太陽がぎらぎらと照りつける。"
"かんかん",かんかん,"形容動詞","","(太阳)火辣辣","真夏の日差しがかんかんに照りつける。"
"つるつる",つるつる,"形容動詞・サ変動詞","","光滑","赤ちゃんの肌はつるつるしている。"
"ざらざら",ざらざら,"形容動詞・サ変動詞","","粗糙，不光滑","この紙は表面がざらざらしている。"
"べたべた",べたべた,"形容動詞・サ変動詞","","黏糊糊，发黏","汗でシャツがべたべたする。"
"ふわふわ",ふわふわ,"形容動詞・サ変動詞","","松软，蓬松","このパンはふわふわで美味しい。"
"ぬるぬる",ぬるぬる,"形容動詞・サ変動詞","","滑溜溜，黏滑","納豆はぬるぬるしている。"
"からっと",からっと,"副詞・サ変動詞","","(油炸食品)酥脆；(天气)晴朗干爽","この天ぷらはからっと揚がっている。"
"ぱさぱさ",ぱさぱさ,"形容動詞・サ変動詞","","(食物)干巴巴；(头发)干枯","この鶏肉は少しぱさぱさしている。"
"もちもち",もちもち,"形容動詞・サ変動詞","","(食物)软糯，有嚼劲","お餅のもちもちした食感が好きだ。"
