name,trans,例文,例文翻译
orient,定向/导向,Cells in the visual cortex are oriented to specific bars.,视觉皮层的细胞对特定条纹具有定向性。
fissure,裂,The longitudinal fissure separates the two hemispheres.,纵裂将两个半球分开。
sulcus,沟,A sulcus is a groove on the surface of the brain.,沟是大脑表面的一种凹槽。
ridge,脊,The ridges on the brain's surface are called gyri.,大脑表面的脊被称为脑回。
gyrus,脑回,The precentral gyrus contains the primary motor cortex.,前中央回包含初级运动皮层。
occipital,枕叶的,The occipital lobe is responsible for visual processing.,枕叶负责视觉处理。
parietal,顶叶的,The parietal lobe integrates sensory information.,顶叶整合感觉信息。
reasoning,推理,Frontal lobes are essential for logical reasoning.,前额叶对逻辑推理至关重要。
temporal,颞叶的,The temporal lobe is involved in auditory perception.,颞叶涉及听觉感知。
frontal,额叶的,The frontal lobe manages complex executive functions.,额叶管理复杂的执行功能。
cortical,皮层的,Cortical layers have distinct cellular compositions.,皮层各层具有不同的细胞组成。
predominantly,主要地,The motor cortex is predominantly involved in movement.,运动皮层主要涉及运动。
hierarchically,分层地,The visual system is organized hierarchically.,视觉系统是按层级组织的。
retina,视网膜,Light is converted into neural signals in the retina.,光在视网膜中转化为神经信号。
lateral,侧向的,The lateral pathway carries signals to the limbs.,侧向通路将信号传导至四肢。
geniculate,膝状的,The geniculate nucleus is a key relay for vision.,膝状核是视觉的关键中继点。
bar,条/条纹,Some neurons respond specifically to oriented bars.,某些神经元专门对定向条纹做出反应。
inferotemporal,下颞叶的,The inferotemporal cortex is key for object recognition.,下颞叶皮层是物体识别的关键。
ventral,腹侧的,The ventral stream is often called the 'what' pathway.,腹侧流通常被称为“识别（what）”通路。
stream,流/通路,Visual information flows through two major streams.,视觉信息流经两个主要通路。
dorsal,背侧的,The dorsal stream processes spatial location.,背侧流处理空间位置。
somatosensory,躯体感觉的,The somatosensory cortex processes touch and pain.,躯体感觉皮层处理触摸和疼痛。
gustatory,味觉的,The gustatory cortex is responsible for the sense of taste.,味觉皮层负责味觉。
supplementary,辅助的,The supplementary motor area helps plan complex moves.,辅助运动区帮助规划复杂的动作。
correspond,对应,Certain brain areas correspond to specific body parts.,某些大脑区域对应特定的身体部位。
scheme,方案/模式,The coding scheme represents how data is stored.,编码方案代表了数据是如何存储的。
mediate,介导/调解,Synaptic changes mediate the formation of memories.,突触变化介导了记忆的形成。
fundamentally,根本地,Neural circuits are fundamentally adaptive.,神经回路从根本上说是具有适应性的。
volley,齐射/群发,A volley of impulses is sent down the nerve fiber.,一簇脉冲沿着神经纤维发送。
prominent,显著的,The central sulcus is a prominent feature of the brain.,中央沟是大脑的一个显著特征。
