本質,ほんしつ,本质、实质,問題の本質を見極めることが重要だ。
倫理,りんり,伦理、道德,企業には高い倫理観が求められる。
規範,きはん,规范、准则,社会的な規範を守って行動する。
主体性,しゅたいせい,主体性、自主性,主体性を持って仕事に取り組む。
多様性,たようせい,多样性、多元化,文化の多様性を尊重する。
共同体,きょうどうたい,共同体、社区,地域共同体の再生が課題だ。
功罪,こうざい,功过、功与罪,インターネットの功罪について論じる。
葛藤,かっとう,纠葛、矛盾、冲突,仕事と家庭の間で葛藤が生じる。
疎外,そがい,疏远、异化,都市生活における人間の疎外感。
寛容,かんよう,宽容、宽大,他者の意見に対する寛容さを持つ。
尊厳,そんげん,尊严,個人の尊厳を守ることが基本的人権である。
偏向,へんこう,偏向、倾向,報道の偏向を指摘する。
中庸,ちゅうよう,中庸、不偏不倚,極端な意見を避け、中庸を保つ。
受容,じゅよう,接受、容纳,困難な事実を冷静に受容する。
風土,ふうど,风土、气候和地貌,この地域の独自の風土が文化を育んだ。
啓発,けいはつ,启发、启迪,環境問題に関する国民の意識を啓発する。
施策,しさく,政策、措施,政府の経済施策が発表された。
戦略,せんりゃく,戦略,市場を拡大するための具体的な戦略を立てる。
経営,けいえい,经营、管理,持続可能な経営を目指す。
資本,しほん,資本,自己資本比率を高める。
収益,しゅうえき,收益、利润,事業の収益性を分析する。
財源,ざいげん,财源,新しい公共事業の財源を確保する。
賦課,ふか,征收（税金等）,新たな税の賦課が検討されている。
担保,たんぽ,担保、抵押,ローンを組むために自宅を担保に入れた。
採算,さいさん,采算、盈利,この事業は採算が取れないと判断された。
持続可能性,じぞくかのうせい,可持续性,持続可能性を重視した開発計画。
相乗効果,そうじょうこうか,相乘效应、协同效应,二社の提携による相乗効果を期待する。
独占,どくせん,垄断、独占,特定の企業による市場の独占を規制する。
均衡,きんこう,均衡、平衡,財政の均衡を回復させる。
格差,かくさ,差距、差别,所得格差の拡大が社会問題となっている。
牽引,けんいん,牵引、带动,新技術が経済成長を牽引する。
整合性,せいごうせい,一致性、协调性,複数のデータ間で整合性を確認する。
一貫性,いっかんせい,一贯性,彼の言動には一貫性がない。
客観性,きゃっかんせい,客观性,報道の客観性が損なわれてはならない。
再現性,さいげんせい,再現性,実験結果の再現性が科学では重要である。
相対的,そうたいてき,相对的,幸福度は相対的なものだ。
絶対的,ぜったいてき,ぜったいてき,神の存在を絶対的に信じる。
相関関係,そうかんかんけい,相关关系,気温とアイスクリームの売れ行きには相関関係がある。
因果関係,いんがかんけい,因果関係,二つの事象の間の厳密な因果関係を究明する。
不可分,ふかぶん,不可分割,政治と経済は不可分の関係にある。
可逆的,かぎゃくてき,可逆的,この化学反応は可逆的だ。
画期的,かっきてき,划时代的、开创性的,これは医学界にとって画期的な発見だ。
莫大,ばくだい,莫大、巨大,莫大な費用を投じて研究開発を行う。
微細,びさい,微細、细微,微細な振動を感知するセンサー。
多岐,たき,多方面、多分支,問題は多岐にわたるため、専門家の意見が必要だ。
本質的,ほんしつてき,本质上的,これは本質的な解決にはなっていない。
総括,そうかつ,总括、总结,会議の最後に議事内容を総括する。
概況,がいきょう,概况、大致情况,現在の市場の概況を報告する。
提言,ていげん,建议、提案,今後の対策について具体的な提言を行う。
示唆,しさ,启示、暗示,そのデータは興味深い傾向を示唆している。
検証,けんしょう,验证、检验,新しいモデルの有効性を検証する。
措置,そち,措施、步骤,被害拡大を防ぐための措置を講じる。
懸念,けねん,担心、忧虑,将来の年金制度に対する懸念が広がっている。
言及,げんきゅう,提到、提及,彼は会議で一度もこの問題に言及しなかった。
排除,はいじょ,排除、去除,古い慣習を排除し、効率化を図る。
網羅的,もうらてき,包罗万象的、全面的,網羅的な調査結果を公表した。
意図,いと,意图、打算,彼の真の意図がどこにあるのかを測りかねている。
洞察,どうさつ,洞察、深入理解,鋭い洞察力で問題の核心を見抜いた。
帰納,きのう,归纳（法）,事例から一般法則を導き出す帰納的なアプローチ。
演繹,えんえき,演绎（法）,一般的な原理から個別の結論を導く演繹的な思考。
修辞,しゅうじ,修辞、修辞手法,彼のスピーチは優れた修辞に満ちていた。
推移,すいい,推移、变化过程,過去10年間の業績の推移をグラフで示す。
輻輳,ふくそう,拥挤、集中,情報が輻輳し、処理能力が追いつかない。
提唱,ていしょう,提倡、倡导,新しい教育方法の導入を提唱する。
敷衍,ふえん,敷衍、引申发挥,前の発言をさらに敷衍して説明を加える。
暗黙,あんもく,暗黙、心照不宣,チーム内には暗黙の了解が存在する。
内省,ないせい,内省、自我反思,日々の行動を記録し、内省の機会を持つ。
志向,しこう,志向、倾向,彼は常に革新的な技術を志向している。
措定,そてい,规定、设定（概念）,研究の出発点として、いくつかの条件を措定する。
所与,しょよ,既定的、已知条件,このプロジェクトは、限られた予算を所与としている。
齟齬,そご,矛盾、不一致,関係者間で認識に齟齬が生じた。
射程,しゃてい,射程、影响范围,その決定が及ぼす影響は広範囲に射程を持つ。
整合,せいごう,整合、协调一致,計画と実行の間に整合性を図る必要がある。
多層的,たそうてき,多层的、多方面的,問題解決には多層的な視点が必要だ。
可視化,かし化,可视化,複雑なデータを図表で可視化する。
遡及,そきゅう,追溯、追溯既往,新法律を過去の事案に遡及して適用することはできない。
漸進的,ぜんしんてき,渐进的、逐步的,大きな改革ではなく、漸進的な変化を選ぶ。
網羅,もうら,网罗、包罗,全ての可能性を網羅した対策を練る。
随時,ずいじ,随时,状況の変化に伴い、随時対応していく。
暫定的,ざんていてき,暂定的、临时的,この結果はあくまで暫定的なものだ。
恒常的,こうじょうてき,恒常的、经常的,恒常的な業務改善に取り組む。
可逆性,かぎゃくせい,可逆性,環境汚染の可逆性について議論する。
不可逆的,ふかぎゃくてき,不可逆的、不可挽回的,一度失われた自然は不可逆的なものだ。
集積,しゅうせき,积累、集中,長年の研究成果が集積された論文。
内実,ないじつ,内情、实际情况,体裁は整っているが、内実は伴っていない。
外延,がいえん,外延、外延性,この概念の外延は広く、適用範囲が大きい。
多義的,たぎてき,多义的,彼の発言は多義的で、様々な解釈が可能だ。
言霊,ことだま,言灵、语言的力量,日本では言葉には言霊が宿ると信じられている。
啓示,けいじ,启示、天启,予期せぬ出来事が、彼に大きな啓示を与えた。
敷居,しきい,门槛（多用于引申）,その分野は専門的で敷居が高い。
拮抗,きっこう,抗衡、势均力敌,二大政党が議席数で拮抗している。
蔓延,まんえん,蔓延、扩散,社会不安が全国に蔓延した。
付随,ふずい,附带、随附,契約書にはいくつかの付随条件がある。
担保,たんぽ,担保、抵押品,信用を担保する仕組みが必要だ。
峻別,しゅんべつ,严格区分、划分,公私を峻別することが社会人には求められる。
乖離,かいり,背离、偏离,市場価格と実質価値の乖離が問題だ。
趨勢,すうせい,趋势、动向,時代の趨勢を読み解くことが成功に繋がる。
所産,しょさん,产物、结果,この技術は長年の研究の所産である。
不羈,ふき,不羁、不受约束,不羈の精神を持つアーティスト。
桎梏,しっこく,桎梏、束缚,古い慣習の桎梏から解放される。
具現化,ぐげんか,具体化、实现,理想を現実の形に具現化する。
排他性,はいたせい,排他性,特定の集団が持つ排他性が問題視される。
包含,ほうがん,包含、包括,その理論は全ての事象を包含している。
表層,ひょうそう,表层、表面,問題の表層だけを見ていてはいけない。
深層,しんそう,深层、深处,人間の行動の深層心理を探る。
可塑性,かそせい,可塑性、可塑力,脳の可塑性が注目されている。
断絶,だんぜつ,断绝、隔绝,過去との文化的な断絶を感じる。
軋轢,あつれき,摩擦、不和,異なる部署間で軋轢が生じた。
是々非々,ぜぜひひ,就事论事,是々非々の態度で議論に臨む。
確固,かっこ,确凿、坚定,確固たる信念を持って行動する。
流布,るふ,流传、散布,誤った情報がインターネットを通じて流布した。
専横,せんおう,专横、独断专行,社長の専横なやり方に社員は不満を持った。
偏在,へんざい,偏在、集中于一地,富と権力が特定の層に偏在している。
通底,つうてい,共通、贯穿始终,彼の作品には一貫して家族愛が通底している。

今日,きょう,今天,今日の予定を確認します。
昨日,きのう,昨天,昨日雨が降りました。
明日,あした/あす,明天,明日は晴れるでしょう。
一昨日,おととい/いっさくじつ,前天,一昨日は忙しかった。
明後日,あさって,后天,明後日旅行に出かけます。
五月雨,さみだれ,梅雨、阴雨连绵,五月雨の降る季節になった。
時雨,しぐれ,秋末冬初的阵雨,時雨が通り過ぎていった。
梅雨,つゆ/ばいう,梅雨（季节）,今年は梅雨入りが遅い。
老舗,しにせ,老字号、老店,京都には歴史のある老舗が多い。
玄人,くろうと,行家、专家,彼はこの道の玄人だ。
素人,しろうと,外行、新手,私はカメラについては全くの素人です。
流石,さすが,果然、真不愧是,流石はプロの仕事だ。
可憐,かれん,可怜、可爱,可憐な花が咲いている。
相殺,そうさい,抵消、对冲,赤字と黒字を相殺する。
相殺,そうさつ,互相残杀（较少用）,戦場での相殺を避ける。
為替,かわせ,汇兑、汇率,外国為替のレートをチェックする。
足袋,たび,日式分趾袜,着物を着る際は足袋を履く。
団扇,うちわ,团扇,夏の夜に団扇で涼む。
浴衣,ゆかた,浴衣,夏祭りには浴衣を着る。
桟敷,さじき,楼座、包厢,相撲の桟敷席で観戦する。
雑魚,ざこ,小鱼、杂鱼,網には雑魚ばかりかかっていた。
数珠,じゅず,念珠,仏壇の前で数珠を手に祈る。
竹刀,しない,竹剑（剑道用）,稽古で竹刀を交える。
芝生,しばふ,草坪,公園の芝生の上で遊ぶ。
三味線,しゃみせん,三味线,三味線の音色が響く。
砂利,じゃり,碎石子,庭に砂利を敷いた。
一向,ひたすら,一心一意、只管,一向に仕事に打ち込む。
一途,いちず,专一、一味,彼女を一途に愛し続ける。
一昨日,さきおととい,大前天,一昨日の出来事を思い出す。
昨日,さくじつ,昨天（正式）,昨日の会議の議事録を作成する。
明日,みょうにち,明天（正式）,明日は午前中にお伺いします。
日和,ひより,天气、时机,行楽日和の暖かい一日。
十重二十重,とえはたえ,重重叠叠,花が十重二十重に咲き誇る。
八百屋,やおや,蔬菜店,八百屋で新鮮な野菜を買う。
雪崩,なだれ,雪崩,スキー場で雪崩が発生した。
心地,ここち,心情、感觉,久しぶりに心地よい風を感じた。
笑顔,えがお,笑容,子供の笑顔は宝物だ。
心太,ところてん,凉粉、魔芋冻,夏には心太を食べる。
小豆,あずき,红豆,小豆を使った和菓子を作る。
大豆,だいず,大豆,大豆は味噌や醤油の原料だ。
七夕,たなばた,七夕（星祭）,七夕の夜に願い事をする。
五月蠅い,うるさい,吵闹、烦人,彼の言い方が五月蠅い。
独り言,ひとりごと,自言自语,彼はよく独り言を言う。
二十歳,はたち,二十岁,彼は今年二十歳になった。
御手洗,みたらし,盥洗室、神社洗手处,御手洗で手を清める。
女将,おかみ,老板娘、女主人,旅館の女将が客を迎える。
海月,くらげ,水母、海蜇,水族館で海月を見る。
雲丹,うに,海胆,新鮮な雲丹を味わう。
鰹,かつお,鲣鱼,鰹のたたきを食べる。
鯣,するめ,干鱿鱼,酒の肴に鯣を焼く。
胡麻,ごま,芝麻,料理に胡麻を振りかける。
玉蜀黍,とうもろこし,玉米,夏祭りで玉蜀黍を焼いて食べる。
木耳,きくらげ,木耳,中華料理には木耳が欠かせない。
萌,もえ,萌芽、发芽,春になり、木々が萌え始めた。
時化,しけ,暴风雨、海上风暴,時化のため船が出せない。
息吹,いぶき,气息、生命力,春の息吹を感じる。
名残,なごり,残留、痕迹,別れを惜しむ名残の雪。
私,わたくし,我（谦称）,私どもの方針をご理解ください。
何処,いずこ,何处、哪里（文语）,彼女はいずこへ去ったのか。
何故,なぜ,为什么,何故そうなるのか説明してください。
誰,たれ,谁（文语）,この歌は誰が作ったのか。
如何,いかに,如何、怎样（文语）,如何なる困難にも立ち向かう。
何れ,いずれ,哪个、反正,何れにしても結果は同じだ。
御幸,みゆき,出行、皇帝出游,天皇の御幸があった。
神楽,かぐら,神乐（祭神乐舞）,神社で神楽が奉納される。
神主,かんぬし,神主、神社主持,神主が祭祀を執り行う。
流布,るふ,流传、散布,デマが急速に流布した。
進捗,しんちょく,进展,プロジェクトの進捗状況を報告する。
重複,ちょうふく,重复,データの重複を避ける。
貼付,ちょうふ,粘贴,切手を貼付して投函する。
押印,おういん,盖章,書類に押印する。
出納,すいとう,支出与收入,現金出納帳を記入する。
早急,さっきゅう,紧急、尽快,早急に対応をお願いします。
遵守,じゅんしゅ,遵守,法律を遵守する。
一段落,いちだんらく,告一段落、一个段落,仕事が一段落した。
年俸,ねんぽう,年薪,彼は高額の年俸で契約した。
過不足,かふそく,过剩或不足,過不足なく説明する。
暫時,ざんじ,暂时、一会儿,暫時お待ちください。
漸次,ぜんじ,渐渐地、逐步地,状況は漸次改善している。
婉曲,えんきょく,婉转,婉曲に断りの返事をした。
畢竟,ひっきょう,毕竟、终归,畢竟、努力が全てだ。
所以,ゆえん,缘故、理由,彼が成功した所以は努力にある。
未だ,いまだ,尚未、仍然,未だその計画は実行されていない。
直に,じきに,立刻、马上,直に彼から連絡があるだろう。
只,ただ,只是、免费,ただ見るだけの見物人。
態々,わざわざ,特意、专门,態々お越しいただき恐縮です。
忽ち,たちまち,立刻、转眼间,忽ちのうちに雨が降り出した。
徐に,おもむろに,徐徐地、慢慢地,彼は徐に口を開いた。
生憎,あいにく,不巧、可惜,生憎ですが、席は満席です。
私,わたくし,我（谦称）,私どもは最善を尽くします。
然も,しかも,而且、并且,優秀な上に、然も努力家だ。
故に,ゆえに,所以、因此,彼は努力した、故に成功した。
予め,あらかじめ,事先、预先,予め連絡をしておく。
未だ,まだ,尚未、仍然,まだ宿題が終わっていない。
態,ざま,样子、状态,その態では成功はおぼつかない。
強ち,あながち,未必、不一定,彼の意見も強ち間違いではない。
果,はたして,果然、到底,果てして彼の言う通りになった。
兎に角,とにかく,总之、姑且不论,兎に角、やってみよう。
到底,とうてい,无论如何（后接否定）,この問題は到底解決できない。
併し,しかし,但是,併し、彼は諦めなかった。
寧ろ,むしろ,不如说、倒不如,寧ろ、その方が良い。
則ち,すなわち,换言之、也就是说,太陽、則ち恒星である。
悉く,ことごとく,全部、所有,彼の作品は悉く傑作だ。
敢えて,あえて,硬要、特意,敢えて危険を冒す必要はない。
殊に,ことに,尤其、特别,その中でも殊に優れている。
凡そ,およそ,大致、凡是,凡そ人間には感情がある。
専ら,もっぱら,专门、主要,休日は専ら読書に費やす。
俄に,にわかに,突然、立刻,空が俄に曇り始めた。
抑,そもそも,原本、本来,抑、この計画は無理があった。
就中,なかんずく,其中、尤其,その中でも就中これが素晴らしい。
未だ,いまだに,仍然、尚未,彼はいまだに姿を見せない。
中々,なかなか,相当、很（后接否定）,この問題は中々難しい。
何卒,なにとぞ,请一定、务必,何卒よろしくお願い申し上げます。
何れ,いずれに,反正、早晚,いずれにせよ、決断が必要だ。
御中,おんちゅう,收启（用于团体）,〇〇株式会社御中。
御用達,ごようたし,特许经销商,皇室御用達の店。
御洒落,お洒落,时髦、打扮,彼女はお洒落な人だ。
御飯,ごはん,饭、餐,温かい御飯を食べる。
御菓子,おかし,点心、糖果,御菓子を分けてあげる。
御神籤,おみくじ,神签,神社で御神籤を引く。
御手洗,おてあらい,厕所、洗手间,お手洗いはあちらです。
御影,みかげ,御影石（花岗岩）,御影石の立派な門。
御馳走,ごちそう,盛宴、款待,素晴らしい御馳走をありがとう。
御歳暮,おせいぼ,年终送礼,取引先にお歳暮を贈る。
御節,おせち,新年菜肴,お節料理を家族で囲む。
乳母,うば,乳母、奶妈,子供を乳母に預ける。
息吹,いぶき,气息、生机,春の息吹が感じられる。
木陰,こかげ,树荫,木陰で一休みする。
心許ない,こころもとない,靠不住、担心,彼の言うことは心許ない。
一寸,ちょっと,稍微、一点,一寸待ってください。
美人局,つつもたせ,美人局（敲诈）,美人局に引っかかる。
流石,さすがに,果然、不愧是（副词）,流石に疲れた。
一寸,いっすん,一寸（长度单位）,一寸の虫にも五分の魂。
一角,ひとかど,出众、优秀,彼は一角の人物だ。
一癖,ひとくせ,一个怪癖、脾气,一癖ある職人。
一言,ひとこと,一句话,一言お断りしておく。
一際,ひときわ,格外、尤其,一際目立つ存在。
一筋,ひとすじ,一心一意,野球一筋の人生。
一頻,ひとしきり,一阵子,一頻、雨が降った。
一重,ひとえ,单层、单眼皮,一重まぶたの女性。
一目,ひとめ,看一眼、世人的目光,一目で気に入った。
一向に,いっこうに,完全（后接否定）,病状は一向に良くならない。
一切,いっさい,全部、毫不（后接否定）,一切の責任を負う。
一切,いっさいがっさい,所有、一切（强调）,一切合切を処分する。
一挙,いっきょ,一下子、一举,一挙に目標を達成する。
一律,いちりつ,一律、全部相同,全員に一律に手当を支給する。
一概に,いちがいに,一概而论（后接否定）,一概に否定はできない。
一端,いったん,一部分、一端,事件の一端を担う。
一辺,いっぺん,一侧、一方面,一辺の長さが５センチの正方形。
一抹,いちまつ,一抹、一丝,一抹の不安を覚える。
一応,いちおう,姑且、大致,一応の目処はついた。
一概,いちがい,一概、笼统（常用于否定）,一概に悪いとは言えない。
一向,いっこう,完全（后接否定）,一向に返事がない。
一先ず,ひとまず,姑且、暂时,一先ず安心した。
一概,いちがい,一概、笼统（常用于否定）,一概に悪いとは言えない。
一向,いっこう,完全（后接否定）,一向に返事がない。
一先ず,ひとまず,姑且、暂时,一先ず安心した。
何れ,いずれ,反正、早晚,何れ分かることだ。
抑々,そもそも,原本、本来,抑々、その考えが間違っている。
恰も,あたかも,仿佛、宛如,恰も夢を見ているようだ。
只管,ひたすら,只顾、一心一意,只管前を向いて進む。
私事,しじ,私事、私人事务,私事で恐縮ですが。
生,き,未经加工、新鲜,生の野菜を食べる。
真実,まこと,真实、真相,真実を話してください。
真面目,まじめ,认真、严肃,真面目に仕事に取り組む。
紅葉,もみじ,红叶、枫叶,紅葉が見頃になった。
時雨,しぐれ,时雨（秋末冬初的阵雨）,時雨が通り過ぎる。
時雨,じう,阵雨（较少用）,時雨模様の天気。
時雨,ときう,阵雨（罕用）,時雨の空の下を歩く。
紅葉,こうよう,红叶（汉字音读）,紅葉狩りに行く。
時雨,しう,阵雨（诗歌用语）,しうの季節。
受け止める,うけとめる,接受、理解、承受,彼の批判を真摯に受け止めた。
立ち向かう,たちむかう,面对、对抗,困難に立ち向かう勇気が必要だ。
使いこなす,つかいこなす,熟练运用、驾驭,新しいツールを完全に使いこなす。
乗り越える,のりこえる,克服、超越,試練を乗り越えて成長する。
押し付ける,おしつける,强加、推卸,自分の意見を他人に押し付けるべきではない。
差し控える,さしひかえる,克制、暂不（做某事）,発言を差し控える。
取り繕う,とりつくろう,修饰、敷衍、掩饰,体裁を取り繕うために嘘をついた。
踏みとどまる,ふみとどまる,停住、坚守原地,危険を前に踏みとどまる。
行き詰まる,いきづまる,陷入僵局、走投无路,交渉が行き詰まってしまった。
訴えかける,うったえかける,呼吁、提出诉求,人々に平和の重要性を訴えかける。
練り上げる,ねりあげる,推敲、精炼,計画を時間をかけて練り上げる。
見せかける,みせかける,伪装、假装,平然を装って見せかける。
打ち明ける,うちあける,坦白、倾诉,彼にすべての悩みを打ち明けた。
抱え込む,かかえこむ,抱住、承担（问题）,問題を一人で抱え込まないで。
飛び散る,とびちる,飞溅、四散,ガラスの破片が飛び散った。
押し寄せる,おしよせる,涌来、蜂拥而至,大勢の観客が会場に押し寄せた。
聞き入れる,ききいれる,听从、接纳,彼の要求を聞き入れることにした。
見落とす,みおとす,看漏、忽略,重要な点を見落としていた。
やり遂げる,やりとげる,完成、做到底,最後まで諦めずにやり遂げる。
突き詰める,つきつめる,深究、追究到底,原因を徹底的に突き詰める。
話し合う,はなしあう,互相交谈、商量,今後の戦略について話し合う。
待ち構える,まちかまえる,等候、守候,ライバルが待ち構えている。
読み解く,よみとく,解读、理解,古文書に書かれた暗号を読み解く。
切り抜ける,きりぬける,摆脱、渡过（难关）,何とか危機を切り抜けることができた。
掻き集める,かきあつめる,搜集、聚集,資料を必死に掻き集めた。
受け継ぐ,うけつぐ,继承、接班,伝統の技術を受け継ぐ。
受け流す,うけながす,挡开、不予理会,彼の冗談をうまく受け流した。
立ち直る,たちなおる,恢复、重新站起来,失敗から立ち直る。
立ち込める,たちこめる,弥漫、笼罩,霧が深く立ち込めている。
入り込む,はいりこむ,进入、渗入,情報が隅々まで入り込む。
読み込む,よみこむ,读入、仔细阅读,契約書を隅々まで読み込む。
書き込む,かきこむ,写入、填写,アンケートに必要事項を書き込む。
投げ出す,なげだす,扔出、放弃,途中で仕事を投げ出す。
見送る,みおくる,送行、目送,空港で友人を見送った。
見合わせる,みあわせる,互相看、暂缓、取消,天候不良のため、出発を見合わせる。
引き受ける,ひきうける,接受、承担,プロジェクトのリーダーを引き受ける。
引き継ぐ,ひきつぐ,接替、交接,来月から業務を引き継ぐ。
引っ掛かる,ひっかかる,钩住、受骗,彼の甘い言葉に引っ掛かった。
振り向く,ふりむく,转身、回顾,急に後ろを振り向く。
呼びかける,よびかける,呼唤、招呼,彼は大声で私に呼びかけた。
追い込む,おいこむ,赶入、逼入绝境,彼を窮地に追い込む。
食い違う,くいちがう,有分歧、不一致,証言が食い違っている。
食い入る,くいいる,凝视、紧盯着,彼はモニターを食い入るように見つめた。
取り組む,とりくむ,致力于、着手,難題に真剣に取り組む。
取り締まる,とりしまる,取缔、管理,警察が交通違反を取り締まる。
踏み込む,ふみこむ,踏入、深入,事件の核心に踏み込む。
突き通す,つきとおす,穿透、坚持到底,自分の信念を突き通す。
申し出る,もうしでる,提出、申请,会議で意見を申し出る。
巻き込む,まきこむ,卷入、牵连,事件に巻き込まれる。
落ち込む,おちこむ,掉进、情绪低落,試験に落ちてひどく落ち込んだ。
突き当たる,つきあたる,走到尽头、遇到（困难）,問題に突き当たった。
打ち勝つ,うちかつ,战胜、克服,誘惑に打ち勝つ。
打ち切る,うちきる,中断、停止,番組の放送を打ち切る。
掻き消す,かきけす,抹去、消除,不安を掻き消すように笑った。
受け入れる,うけいれる,接受、采纳,多様な意見を受け入れる。
走り出す,はしりだす,开始跑,ベルが鳴ると同時に走り出す。
思い出す,おもいだす,想起,昔のことをふと思い出す。
読み切る,よみきる,读完,長い小説を一晩で読み切った。
話し続ける,はなしつづける,继续说,彼は延々と話し続けた。
取り替える,とりかえる,更换,古い電池を新しいものに取り替える。
生き延びる,いきのびる,活下来、幸存,戦争を生き延びた人々。
書き直す,かきなおす,重写、修改,レポートを最初から書き直す。
言い切る,いいきる,断言、说定,彼は絶対に成功すると言い切った。
思い込む,おもいこむ,深信不疑、误以为,彼女に嫌われていると思い込む。
立ち上がる,たちあがる,站起来、开始（行动）,困難から立ち上がる。
飛び回る,とびまわる,飞来飞去、到处奔走,仕事で全国を飛び回る。
見つける,みつける,找到,失くした鍵を見つける。
乗りこなす,のりこなす,驾驭、熟练掌握,難しい波を乗りこなす。
使い果たす,つかいはたす,用完、耗尽,貯金を使い果たす。
やり直す,やりなおす,重做、重新开始,失敗しても何度でもやり直す。
呼び起こす,よびおこす,唤起、引起,古い記憶を呼び起こす。
見つめる,みつめる,凝视、注视,真剣な目で相手を見つめる。
追い越す,おいこす,超车、超越,ライバル企業を追い越す。
立ち尽くす,たちつくす,站立不动、呆立,悲しみに立ち尽くす。
聞き逃す,ききのがす,听漏,大事な説明を聞き逃した。
見損なう,みそこなう,看错、错过（机会）,素晴らしい景色を見損なった。
言い返す,いいかえす,回嘴、反驳,上司の言葉に言い返す。
書き殴る,かきなぐる,潦草地写,怒りに任せて書き殴った手紙。
引き下がる,ひきさがる,退下、让步,自分の主張を曲げずに引き下がらない。
突き破る,つきやぶる,突破、冲破,壁を突き破って進む。
待ち遠しい,まちどおしい,盼望、期待,再会の日が待ち遠しい。
思い詰める,おもいつめる,钻牛角尖、想不开,一人で思い詰めるのは良くない。
見極める,みきわめる,看清、辨明,状況の変化を冷静に見極める。
乗り出す,のりだす,开始（着手）、探出身子,新しい事業に乗り出す。
立ち寄る,たちよる,顺便去、靠近,駅前のカフェに立ち寄る。
入れ替わる,いれかわる,替换、交替,席が入れ替わる。
行き交う,ゆきかう,来往、往来,大勢の人が行き交う交差点。
追い払う,おいはらう,赶走、驱逐,悪い考えを追い払う。
受け取る,うけとる,收到、领受,小包を受け取る。
解き放つ,ときはなつ,解开、解放,鳥を籠から解き放つ。
飛び込む,とびこむ,跳入、投入,プールに飛び込む。
話し掛ける,はなしかける,搭话,隣の人に話し掛ける。
こびり付く,こびりつく,粘着、附着,鍋に焦げがこびり付いた。
飲み歩く,のみあるく,四处喝酒,夜の街を飲み歩く。
踏み荒らす,ふみあらす,踩踏、蹂躏,畑を踏み荒らす。
誉め讃える,ほめたたえる,赞美、称赞,偉大な功績を誉め讃える。
語り明かす,かたりあかす,彻夜长谈,友人と将来について語り明かした。
聞き返す,ききかえす,反问、再问一遍,相手の言葉を聞き返す。
震え上がる,ふるえあがる,发抖、战栗,寒さで震え上がる。
