輸出する,ゆしゅつする,to export,"車を輸出する。","Export cars."
輸入する,ゆにゅうする,to import,"食品を輸入する。","Import food."
難しい,むずかしい,difficult,"難しい問題。","A difficult problem."
有難い,ありがたい,grateful/thankful,"有難い助言。","Helpful advice."
困難,こんなん,difficulty/hardship,"困難に立ち向かう。","Face difficulties."
避難する,ひなんする,to evacuate,"安全な場所に避難する。","Evacuate to a safe place."
易しい,やさしい,easy/simple,"易しい問題。","An easy problem."
貿易,ぼうえき,trade,"貿易摩擦。","Trade friction."
難易度,なんいど,degree of difficulty,"難易度が高い。","The difficulty level is high."
容易,ようい,easy/simple,"容易に解決する。","Solve easily."
報いる,むくいる,to reward/repay,"恩に報いる。","Repay a favor."
情報,じょうほう,information,"情報を得る。","Get information."
報告,ほうこく,report,"研究を報告する。","Report on the research."
予報,よほう,forecast,"天気予報。","Weather forecast."
告げる,つげる,to tell/inform,"別れを告げる。","Say goodbye."
予告する,よこくする,to notify in advance,"予告なしに変更する。","Change without prior notice."
報じる,ほうじる,to report/inform,"ニュースを報じる。","Report the news."
告白する,こくはくする,to confess,"愛を告白する。","Confess love."
判断する,はんだんする,to judge/decide,"状況を判断する。","Judge the situation."
裁判,さいばん,trial/judgement,"裁判にかける。","Put to trial."
評判,ひょうばん,reputation,"評判の良い店。","A shop with a good reputation."
断つ,たつ,to cut off/sever,"連絡を断つ。","Cut off contact."
断る,ことわる,to refuse/decline,"招待を断る。","Decline an invitation."
横断歩道,おうだんほどう,pedestrian crossing,"横断歩道を渡る。","Cross the pedestrian crossing."
無断,むだん,without permission,"無断欠席。","Absence without permission."
成績,せいせき,results/grades,"成績が上がる。","Grades improve."
業績,ぎょうせき,achievement (business/academic),"会社の業績。","Company performance."
実績,じっせき,actual results/track record,"豊富な実績。","An extensive track record."
導く,みちびく,to guide/lead,"生徒を導く。","Guide the students."
指導する,しどうする,to instruct/lead,"指導を受ける。","Receive instruction."
半導体,はんどうたい,semiconductor,"半導体産業。","Semiconductor industry."
服,ふく,clothes,"服を着る。","Wear clothes."
装う,よそおう,to dress/pretend,"平然を装う。","Pretend to be calm."
服装,ふくそう,dress/attire,"きちんとした服装。","Neat attire."
衣装,いしょう,costume/dress,"舞台衣装。","Stage costume."
帽子,ぼうし,hat/cap,"帽子をかぶる。","Wear a hat."
手袋,てぶくろ,gloves,"手袋をはめる。","Wear gloves."
レジ袋,レジぶくろ,plastic shopping bag,"レジ袋は必要ですか。","Do you need a plastic bag?"
足袋,たび,split-toe socks,"足袋を履く。","Wear *tabi* (split-toe socks)."
綿,めん,cotton,"綿のシャツ。","Cotton shirt."
木綿,もめん,cotton (fabric),"木綿の布。","Cotton cloth."
つり革,つりかわ,strap (on train/bus),"つり革につかまる。","Hold onto the strap."
革命,かくめい,revolution,"産業革命。","Industrial revolution."
靴,くつ,shoes,"新しい靴。","New shoes."
革靴,かわぐつ,leather shoes,"革靴を磨く。","Polish leather shoes."
靴下,くつした,socks/stockings,"靴下を履く。","Wear socks."
磨く,みがく,to polish/brush,"歯を磨く。","Brush teeth."
歯磨き,はみがき,tooth brushing/toothpaste,"歯磨き粉。","Toothpaste."
研磨する,けんまする,to polish/grind,"宝石を研磨する。","Polish a gem."
替わる,かわる,to replace/be substituted,"選手が替わる。","A player is substituted."
替える,かえる,to replace/exchange,"電池を替える。","Change the battery."
着替える,きがえる,to change clothes,"服を着替える。","Change clothes."
両替,りょうがえ,money exchange,"ドルに両替する。","Exchange into dollars."
交替する,こうたいする,to take turns/alternate,"運転を交替する。","Take turns driving."
更に,さらに,further/moreover,"更に詳しく説明する。","Explain in further detail."
更衣室,こういしつ,changing room,"更衣室で着替える。","Change clothes in the changing room."
変更する,へんこうする,to change/alter,"予定を変更する。","Change the plan."
更新する,こうしんする,to renew/update,"記録を更新する。","Break a record."
/
狭い,せまい,narrow/small,"狭い道。","A narrow road."
先程,さきほど,a little while ago,"先程電話があった。","There was a call a little while ago."
程度,ていど,degree/extent,"この程度で十分だ。","This extent is enough."
日程,にってい,schedule/itinerary,"旅行の日程。","Travel itinerary."
差す,さす,to raise (umbrella)/shine (sun),"傘を差す。","Put up an umbrella."
日差し,ひざし,sunlight/sunbeam,"強い日差し。","Strong sunlight."
差,さ,difference/gap,"実力に差がある。","There is a difference in ability."
時差,じさ,time difference,"時差ボケ。","Jet lag."
差別する,さべつする,to discriminate,"人種で差別する。","Discriminate by race."
窓際,まどぎわ,by the window,"窓際に座る。","Sit by the window."
際立つ,きわだつ,to stand out/be prominent,"個性が際立つ。","Personality stands out."
実際,じっさい,actually/reality,"実際に行ってみる。","Go and see in reality."
国際,こくさい,international,"国際問題。","International issue."
交際する,こうさいする,to associate with/date,"彼女と交際する。","Date her."
年齢,ねんれい,age,"年齢制限。","Age limit."
高齢,こうれい,old age,"高齢化社会。","Aging society."
測る,はかる,to measure/gauge,"距離を測る。","Measure the distance."
予測する,よそくする,to predict/estimate,"地震を予測する。","Predict an earthquake."
観測する,かんそくする,to observe/measure,"天体を観測する。","Observe celestial bodies."
因る,よる,to be due to/depend on,"努力による結果。","Results due to effort."
原因,げんいん,cause/origin,"事故の原因。","Cause of the accident."
要因,よういん,factor/cause,"成功の要因。","Factor for success."
価,あたい,value/price,"努力の価がある。","The effort has value."
価値観,かちかん,sense of value,"価値観が違う。","Values are different."
物価,ぶっか,prices (of goods),"物価が高い。","Prices are high."
評価する,ひょうかする,to evaluate/assess,"能力を評価する。","Evaluate ability."
値段,ねだん,price,"値段が高い。","The price is high."
平均値,へいきんち,average value,"平均値を出す。","Calculate the average value."
観光する,かんこうする,to sightsee,"京都を観光する。","Sightsee in Kyoto."
客観的,きゃっかんてき,objective,"客観的な意見。","Objective opinion."
体制,たいせい,system/structure,"政治体制。","Political system."
制度,せいど,system/institution,"社会制度。","Social system."
調査する,ちょうさする,to investigate/research,"市場を調査する。","Investigate the market."
検査する,けんさする,to inspect/examine,"健康を検査する。","Have a health check-up."
審査員,しんさいん,judge/examiner,"審査員を務める。","Serve as a judge."
雇う,やとう,to hire/employ,"従業員を雇う。","Hire an employee."
雇用する,こようする,to employ,"新入社員を雇用する。","Employ new staff."
解雇する,かいこする,to dismiss/fire,"不当に解雇する。","Dismiss unfairly."
二列,にれつ,two rows,"二列に並ぶ。","Line up in two rows."
行列する,ぎょうれつする,to line up/queue,"行列ができる。","A line forms."
序列,じょれつ,ranking/order,"序列を守る。","Keep the order."
状況,じょうきょう,situation/state of affairs,"状況を説明する。","Explain the situation."
近況,きんきょう,recent situation,"近況を報告する。","Report on recent activities."
積む,つむ,to pile up/load,"荷物を積む。","Load the luggage."
積もる,つもる,to pile up/accumulate,"雪が積もる。","Snow accumulates."
面積,めんせき,area,"土地の面積。","Area of the land."
積極的,せっきょくてき,positive/active,"積極的に参加する。","Participate actively."
占める,しめる,to occupy/account for,"過半数を占める。","Occupy the majority."
占う,うらなう,to tell fortunes,"未来を占う。","Tell the future."
独占する,どくせんする,to monopolize,"市場を独占する。","Monopolize the market."
老いる,おいる,to age/grow old,"老いることを恐れる。","Fear growing old."
老ける,ふける,to look old,"老けて見える。","Look old."
老舗,しにせ,old/established shop,"老舗の店。","An established shop."
老人,ろうじん,old person,"老人ホーム。","Nursing home."
帯,おび,sash/belt (kimono),"帯を締める。","Tie a kimono sash."
帯グラフ,おびグラフ,band graph/bar graph,"帯グラフで表示する。","Show with a bar graph."
帯る,おびる,to wear/carry/be tinged with,"使命を帯びる。","Be charged with a mission."
携帯電話,けいたいでんわ,mobile phone,"携帯電話を使う。","Use a mobile phone."
熱帯,ねったい,tropics,"熱帯気候。","Tropical climate."
世帯,せたい,household,"世帯数。","Number of households."
伸びる,のびる,to stretch/grow,"背が伸びる。","Grow taller."
伸ばす,のばす,to stretch/extend,"腕を伸ばす。","Stretch one's arm."
伸縮する,しんしゅくする,to expand and contract,"伸縮性のある素材。","Stretchy material."
肩,かた,shoulder,"肩をたたく。","Pat on the shoulder."
肩こり,かたこり,stiff shoulder,"肩こりがひどい。","Severe stiff shoulders."
強肩,きょうけん,strong arm (in sports),"強肩の選手。","A player with a strong arm."
超える,こえる,to exceed/surpass,"限界を超える。","Exceed the limit."
越す,こす,to cross over/move (house),"国境を越す。","Cross the border."
幅,はば,width/range,"道の幅。","Width of the road."
大幅,おおはば,drastic/large,"大幅な値引き。","Large discount."
増幅する,ぞうふくする,to amplify,"音声を増幅する。","Amplify the voice."
干す,ほす,to air/dry,"洗濯物を干す。","Dry the laundry."
梅干し,うめぼし,pickled plum,"梅干しを食べる。","Eat a pickled plum."
干物,ひもの,dried food,"魚の干物。","Dried fish."
若干,じゃっかん,a few/some,"若干の変更がある。","There are some changes."
干ばつ,かんばつ,drought,"干ばつが続く。","The drought continues."
干渉する,かんしょうする,to interfere,"他人の事に干渉する。","Interfere in other people's affairs."
率いる,ひきいる,to lead/command,"チームを率いる。","Lead the team."
投票率,とうひょうりつ,voting rate,"投票率が高い。","The voting rate is high."
確率,かくりつ,probability,"成功の確率。","Probability of success."
停滞する,ていたいする,to stagnate/be stuck,"経済が停滞する。","The economy stagnates."
停電,ていでん,power outage,"停電になる。","There is a power outage."
停止する,ていしする,to stop/halt,"運転を停止する。","Stop operation."
総雨量,そううりょう,total rainfall,"総雨量を計測する。","Measure the total rainfall."
総合,そうごう,comprehensive/overall,"総合的に判断する。","Judge comprehensively."
支える,ささえる,to support/sustain,"家族を支える。","Support the family."
支出,ししゅつ,expenditure/expense,"支出を抑える。","Curb expenditure."
支店,してん,branch office,"銀行の支店。","Bank branch."
支持する,しじする,to support/endorse,"政策を支持する。","Support the policy."
平均,へいきん,average/mean,"平均点。","Average score."
倍,ばい,times/double,"二倍になる。","Become double."
満ちる,みちる,to be full/be filled,"水が満ちる。","The water fills up."
満たす,みたす,to satisfy/fulfill,"条件を満たす。","Satisfy the conditions."
未満,みまん,less than/under,"18歳未満。","Under 18 years old."
満足する,まんぞくする,to be satisfied,"結果に満足する。","Be satisfied with the result."
不満,ふまん,dissatisfaction/complaint,"不満を抱く。","Have a complaint."
含む,ふくむ,to include/contain,"税金を含む。","Include tax."
含有量,がんゆうりょう,content (of a substance),"塩分含有量。","Salt content."
比べる,くらべる,to compare,"他と比べる。","Compare with others."
比較する,ひかくする,to compare,"二つを比較する。","Compare the two."
比較的,ひかくてき,comparatively/relatively,"比較的簡単だ。","It is relatively easy."
迷う,まよう,to be lost/hesitate,"道に迷う。","Get lost."
迷子,まいご,lost child,"迷子になる。","Become a lost child."
低迷する,ていめいする,to be in a slump/stagnate,"景気が低迷する。","The economy is in a slump."
迷惑する,めいわくする,to be troubled/annoyed,"他人に迷惑をかける。","Cause trouble to others."
機械,きかい,machine/opportunity,"精密な機械。","A precise machine."
普及する,ふきゅうする,to spread/become common,"携帯電話が普及する。","Mobile phones become common."
普通,ふつう,ordinary/usual,"普通電車。","Local train (or ordinary train)."
普段,ふだん,usual/ordinary time,"普段着。","Everyday clothes."
移る,うつる,to move/shift,"本社が移る。","The head office moves."
移す,うつす,to move/transfer,"荷物を移す。","Move the luggage."
推移,すいい,transition/change,"人口の推移。","Population transition."
移動する,いどうする,to move/migrate,"席を移動する。","Move seats."
捕まる,つかまる,to be caught/arrested,"犯人が捕まる。","The culprit is caught."
捕まえる,つかまえる,to catch/arrest,"魚を捕まえる。","Catch a fish."
逮捕する,たいほする,to arrest,"容疑者を逮捕する。","Arrest the suspect."
凍る,こおる,to freeze,"水が凍る。","Water freezes."
凍える,こごえる,to be frozen (with cold),"手が凍える。","Hands are frozen (with cold)."
冷凍する,れいとうする,to freeze (food),"食品を冷凍する。","Freeze food."
塗る,ぬる,to paint/spread,"パンにバターを塗る。","Spread butter on bread."
塗装する,とそうする,to paint (professionally),"壁を塗装する。","Paint the wall."
/
香り,かおり,fragrance/smell,"花の香り。","Flower fragrance."
香る,かおる,to smell/be fragrant,"香りの良いお茶。","Fragrant tea."
香水,こうすい,perfume,"香水をつける。","Wear perfume."
地域,ちいき,area/region,"地域の住民。","Local residents."
区域,くいき,district/zone,"制限区域。","Restricted zone."
採る,とる,to adopt/take (a sample),"意見を採る。","Adopt an opinion."
伐採する,ばっさいする,to fell/cut down (trees),"木を伐採する。","Cut down trees."
採用する,さいようする,to adopt/hire,"新しい技術を採用する。","Adopt new technology."
設ける,もうける,to provide/establish,"席を設ける。","Provide seats."
建設する,けんせつする,to construct/build,"ビルを建設する。","Construct a building."
設定する,せっていする,to set up/configure,"アラームを設定する。","Set the alarm."
設備,せつび,equipment/facilities,"最新の設備。","Latest equipment."
恐れる,おそれる,to fear/be afraid of,"失敗を恐れる。","Fear failure."
恐れ,おそれ,fear/risk,"恐れがある。","There is a risk."
恐怖,きょうふ,fear/terror,"恐怖を感じる。","Feel terror."
諸島,しょとう,archipelago/islands,"アリューシャン諸島。","Aleutian Islands."
諸国,しょこく,various countries,"世界諸国。","Countries around the world."
限る,かぎる,to limit/restrict,"女性に限る。","Limited to women."
限り,かぎり,limit/as far as,"力の限り走る。","Run as much as possible."
期限する,きげんする,to limit the term (misuse for 期限/限定),"期限を設ける。","Set a deadline."
限度,げんど,limit/bounds,"限度額。","Limit amount."
限定,げんてい,limitation/restriction,"数量限定。","Limited quantity."
猫舌,ねこじた,sensitive to hot food,"彼は猫舌だ。","He is sensitive to hot food."
招き猫,まねきねこ,beckoning cat figurine,"招き猫を飾る。","Display a *maneki-neko*."
説く,とく,to explain/preach,"仏の教えを説く。","Preach Buddha's teachings."
伝説,でんせつ,legend/folklore,"伝説の人物。","Legendary figure."
説明する,せつめいする,to explain,"理由を説明する。","Explain the reason."
小説,しょうせつ,novel/story,"小説を読む。","Read a novel."
営む,いとなむ,to run (a business)/conduct,"商売を営む。","Run a business."
営み,いとなみ,activity/livelihood,"日々の営み。","Daily activities."
営業中,えいぎょうちゅう,open for business,"営業中の店。","A shop open for business."
経営する,けいえいする,to manage/run (a business),"会社を経営する。","Manage a company."
救う,すくう,to save/rescue,"命を救う。","Save a life."
救助する,きゅうじょする,to rescue/aid,"遭難者を救助する。","Rescue the disaster victims."
救出する,きゅうしゅつする,to rescue/extricate,"人質を救出する。","Rescue the hostage."
祈る,いのる,to pray/wish,"平和を祈る。","Pray for peace."
合格祈願,ごうかくきがん,prayer for success in exams,"合格祈願のお守り。","A charm for passing exams."
球,たま,ball/sphere,"球を投げる。","Throw a ball."
地球,ちきゅう,the Earth,"地球温暖化。","Global warming."
野球,やきゅう,baseball,"野球をする。","Play baseball."
汚い,きたない,dirty/messy,"汚い部屋。","A dirty room."
汚れる,よごれる,to become dirty,"服が汚れる。","Clothes get dirty."
汚す,よごす,to make dirty,"手を汚す。","Make one's hands dirty."
汚染,おせん,pollution/contamination,"大気汚染。","Air pollution."
汚職,おしょく,corruption/graft,"汚職事件。","Corruption case."
汚点,おてん,stain/blemish,"人生の汚点。","A stain on one's life."
群れる,むれる,to flock/gather,"動物が群れる。","Animals gather in groups."
群れ,むれ,group/herd/flock,"鳥の群れ。","A flock of birds."
群がる,むらがる,to swarm/gather,"人が群がる。","People swarm."
群集,ぐんしゅう,crowd/multitude,"群集心理。","Crowd psychology."
大群,たいぐん,large crowd/swarm,"大群で移動する。","Move in a large swarm."
触れる,ふれる,to touch/mention,"ニュースに触れる。","Mention the news."
触る,さわる,to touch/feel,"壁に触る。","Touch the wall."
額,ひたい,forehead/amount (of money),"額を出す。","Expose one's forehead."
半額,はんがく,half price,"半額セール。","Half-price sale."
金額,きんがく,amount of money,"金額を支払う。","Pay the amount."
参る,まいる,to go/come (humble)/visit (shrine),"神社に参る。","Visit a shrine."
参加する,さんかする,to participate,"会議に参加する。","Participate in a meeting."
参考,さんこう,reference,"参考にする。","Use as a reference."
持参する,じさんする,to bring (something) with one,"資料を持参する。","Bring the materials."
責める,せめる,to blame/accuse,"失敗を責める。","Blame the failure."
責任,せきにん,responsibility,"責任を果たす。","Fulfill one's responsibility."
任せる,まかせる,to entrust/leave to,"仕事は彼に任せる。","Leave the work to him."
任務,にんむ,duty/task,"任務を遂行する。","Execute a mission."
担任,たんにん,homeroom teacher,"担任の先生。","Homeroom teacher."
許す,ゆるす,to permit/forgive,"間違いを許す。","Forgive a mistake."
免許,めんきょ,license/permit,"運転免許。","Driver's license."
許可する,きょかする,to permit/approve,"外出を許可する。","Permit going out."
吹く,ふく,to blow,"風が吹く。","The wind blows."
枯れる,かれる,to wither/die (plant),"花が枯れる。","The flower withers."
木枯らし,こがらし,cold winter wind,"木枯らしが吹く。","A cold winter wind blows."
枯れ葉,かれは,dead leaf,"枯れ葉が舞う。","Dead leaves dance."
波,なみ,wave,"海の波。","Ocean waves."
電波,でんぱ,radio wave/signal,"電波が届かない。","The signal doesn't reach."
波紋,はもん,ripple/repercussion,"波紋が広がる。","Ripples spread."
偶然,ぐうぜん,by chance/coincidence,"偶然の出会い。","A chance encounter."
偶数,ぐうすう,even number,"偶数を選ぶ。","Choose an even number."
配偶者,はいぐうしゃ,spouse/partner,"配偶者の有無。","Presence of a spouse."
余る,あまる,to be left over/remain,"時間が余る。","Time is left over."
余り,あまり,remainder/excess,"余りのパン。","The remaining bread."
余計,よけい,unnecessary/too much,"余計な一言。","An unnecessary word."
余裕,よゆう,leeway/room/spare time,"時間に余裕がある。","There's spare time."
久しぶり,ひさしぶり,for the first time in a long time,"久しぶりの再会。","Reunion after a long time."
耐久性,たいきゅうせい,durability,"耐久性が高い。","High durability."
持久力,じきゅうりょく,endurance/stamina,"持久力をつける。","Build up stamina."
永久,えいきゅう,permanence/eternity,"永久不滅。","Eternal and immutable."
永遠,えいえん,eternity,"永遠の愛。","Eternal love."
砂,すな,sand,"砂遊び。","Playing with sand."
砂浜,すなはま,sandy beach,"砂浜を歩く。","Walk on the sandy beach."
砂漠,さばく,desert,"砂漠を横断する。","Cross the desert."
砂糖,さとう,sugar,"砂糖を入れる。","Add sugar."
土砂,どしゃ,earth and sand,"土砂崩れ。","Landslide."
大陸,たいりく,continent,"ユーラシア大陸。","Eurasian continent."
陸上,りくじょう,land/track and field,"陸上競技。","Track and field events."
泉,いずみ,spring/fountain,"温泉が湧き出る。","Hot springs gush out."
温泉,おんせん,hot spring,"温泉に入る。","Go into a hot spring."
湾岸,わんがん,bay area/coast,"湾岸道路。","Bay shore road."
岸辺,きしべ,bank/shore,"岸辺に立つ。","Stand on the shore."
海岸,かいがん,coast/seashore,"美しい海岸。","Beautiful coast."
中洲,なかす,sandbank/islet in a river,"川の中洲。","Sandbank in a river."
九州,きゅうしゅう,Kyushu (island),"九州地方。","Kyushu region."
極める,きわめる,to master/pursue to the extreme,"技術を極める。","Master a technique."
南極,なんきょく,South Pole/Antarctic,"南極探検。","Antarctic expedition."
消極的,しょうきょくてき,negative/passive,"消極的な態度。","Passive attitude."
極楽,ごくらく,paradise/nirvana,"極楽浄土。","Pure Land (Paradise)."
川,かわ,river,"川で泳ぐ。","Swim in the river."
河川,かせん,rivers,"河川敷。","Riverbed."
河口,かこう,river mouth,"川の河口。","River mouth."
氷河,ひょうが,glacier,"氷河期。","Ice age."
湖,みずうみ,lake,"湖畔を散歩する。","Walk along the lakeshore."
河口湖,かわぐちこ,Lake Kawaguchi,"河口湖のほとり。","On the shore of Lake Kawaguchi."
屋根,やね,roof,"屋根を修理する。","Repair the roof."
大根,だいこん,radish,"大根おろし。","Grated radish."
根気がある,こんきがある,to be persistent/have patience,"根気がある人。","A persistent person."
根拠,こんきょ,basis/grounds,"根拠を示す。","Show the grounds."
枝,えだ,branch/twig,"木の枝。","Tree branch."
植える,うえる,to plant,"木を植える。","Plant a tree."
植木,うえき,potted plant/garden tree,"植木の手入れ。","Care for potted plants."
植物,しょくぶつ,plant/vegetation,"植物園。","Botanical garden."
移植する,いしょくする,to transplant,"臓器を移植する。","Transplant an organ."
太陽,たいよう,sun,"太陽の光。","Sunlight."
炭,すみ,charcoal,"炭火焼き。","Charcoal grill."
/
二酸化炭素,にさんかたんそ,carbon dioxide,"二酸化炭素の排出。","Carbon dioxide emissions."
除く,のぞく,to exclude/remove,"一部を除く。","Excluding a part."
除外する,じょがいする,to exclude,"候補から除外する。","Exclude from the candidates."
解除する,かいじょする,to cancel/release,"ロックを解除する。","Release the lock."
掃除する,そうじする,to clean,"部屋を掃除する。","Clean the room."
その他,そのた,others/otherwise,"その他大勢。","All the others."
他人,たにん,other person/stranger,"他人事。","Someone else's problem."
略語,りゃくご,abbreviation/acronym,"アルファベットの略語。","Alphabetical abbreviation."
略す,りゃくす,to abbreviate/omit,"名前を略す。","Abbreviate the name."
省略する,しょうりゃくする,to omit/abbreviate,"一部を省略する。","Omit a part."
基づく,もとづく,to be based on,"事実に基づいて話す。","Speak based on facts."
基本,きほん,foundation/basis,"基本を学ぶ。","Learn the basics."
基準,きじゅん,standard/criteria,"基準を満たす。","Meet the criteria."
基礎,きそ,foundation/basis,"基礎工事。","Foundation work."
標語,ひょうご,slogan/motto,"安全標語。","Safety slogan."
目標,もくひょう,goal/target,"目標を達成する。","Achieve the goal."
標準,ひょうじゅん,standard/level,"標準語。","Standard language."
一秒,いちびょう,one second,"一秒を争う。","Race against the clock."
入学式,にゅうがくしき,entrance ceremony,"大学の入学式。","University entrance ceremony."
卒業式,そつぎょうしき,graduation ceremony,"高校の卒業式。","High school graduation ceremony."
形式,けいしき,form/format,"形式的な挨拶。","Formal greeting."
祝う,いわう,to celebrate/congratulate,"誕生日を祝う。","Celebrate a birthday."
祝日,しゅくじつ,public holiday,"国民の祝日。","National holiday."
双子,ふたご,twins,"双子の姉妹。","Twin sisters."
双方,そうほう,both parties,"双方の意見を聞く。","Listen to both sides' opinions."
到る,いたる,to reach/arrive at,"結論に至る。","Arrive at a conclusion."
到着する,とうちゃくする,to arrive,"駅に到着する。","Arrive at the station."
到達する,とうたつする,to reach/attain,"目標に到達する。","Reach the goal."
肯定する,こうていする,to affirm/confirm,"肯定的な返事。","Affirmative reply."
否定する,ひていする,to deny/negate,"事実を否定する。","Deny the facts."
拒否する,きょひする,to refuse/reject,"要求を拒否する。","Refuse a request."
安否,あんぴ,safety/well-being,"安否を確認する。","Confirm safety."
一般的,いっぱんてき,general/common,"一般的な意見。","General opinion."
疑う,うたがう,to doubt/suspect,"彼の言葉を疑う。","Doubt his words."
疑問,ぎもん,doubt/question,"疑問に思う。","Have a doubt."
容疑者,ようぎしゃ,suspect,"容疑者を特定する。","Identify the suspect."
疑惑,ぎわく,suspicion/distrust,"疑惑の目。","Suspicious look."
命令する,めいれいする,to order/command,"退去を命令する。","Order to leave."
批判する,ひはんする,to criticize,"政府を批判する。","Criticize the government."
批評する,ひひょうする,to review/critique,"作品を批評する。","Critique a work."
評論,ひょうろん,critique/commentary,"文学評論。","Literary commentary."
評価する,ひょうかする,to evaluate/assess,"能力を評価する。","Evaluate ability."
評判,ひょうばん,reputation,"評判の良いレストラン。","A restaurant with a good reputation."
論文,ろんぶん,thesis/paper,"卒業論文。","Graduation thesis."
議論する,ぎろんする,to discuss/debate,"問題について議論する。","Discuss the problem."
述べる,のべる,to state/express,"意見を述べる。","State one's opinion."
記述する,きじゅつする,to describe/write down,"状況を記述する。","Describe the situation."
感想,かんそう,impression/thoughts,"感想を述べる。","Give one's impression."
予想する,よそうする,to expect/predict,"結果を予想する。","Predict the result."
想像する,そうぞうする,to imagine,"未来を想像する。","Imagine the future."
愛想,あいそ,friendliness/sociability,"愛想が良い。","Be friendly."
接ぐ,つぐ,to join/solder,"線を接ぐ。","Join the wires."
接続し,せつぞくし,conjunction,"接続詞を使う。","Use a conjunction."
接する,せっする,to contact/touch/border on,"お客様に接する。","Attend to customers."
直接,ちょくせつ,direct/immediate,"直接会う。","Meet directly."
硬い,かたい,hard/stiff,"硬いパン。","Hard bread."
硬貨,こうか,coin,"硬貨を使う。","Use a coin."
柔らかい,やわらかい,soft/tender,"柔らかい布団。","Soft futon."
柔軟,じゅうなん,flexible/softness,"柔軟に対応する。","Respond flexibly."
巻く,まく,to roll/wind,"マフラーを巻く。","Wrap a scarf."
海苔巻き,のりまき,sushi roll,"海苔巻きを食べる。","Eat a sushi roll."
三巻,さんかん,three volumes,"全三巻の小説。","A novel in three volumes."
巻末,かんまつ,end of the book,"巻末の資料。","Materials at the end of the book."
三冊,さんさつ,three books,"三冊の本。","Three books."
短冊,たんざく,long, narrow strip of paper,"短冊に願い事を書く。","Write a wish on a strip of paper."
匹敵する,ひってきする,to be a match for/be equal to,"プロに匹敵する腕前。","Skill matching a professional."
杯,はい,cup/counter for cups/glasses,"お茶を一杯飲む。","Drink a cup of tea."
乾杯する,かんぱいする,to toast (cheers),"乾杯の音頭を取る。","Lead the toast."
三粒,さんつぶ,three grains/drops,"米を三粒食べる。","Eat three grains of rice."
大粒,おおつぶ,large grain/drop,"大粒の涙。","Large drops of tears."
粒子,りゅうし,particle/grain,"微細な粒子。","Fine particles."
滴,しずく,drop (of liquid),"雨の滴。","Raindrop."
滴る,したたる,to drip/trickle,"水が滴る。","Water drips."
点滴,てんてき,intravenous drip/drops,"点滴を受ける。","Receive an IV drip."
泊まる,とまる,to stay overnight,"ホテルに泊まる。","Stay at a hotel."
