guarded,guarded,"小心的，谨慎的","He gave a guarded response to the question.","他对这个问题给出了一个谨慎的回应。"
preferred,prefer,"更喜欢的","I preferred the blue shirt to the red one.","我更喜欢蓝色的衬衫而不是红色的。"
orphan,orphan,"孤儿","The orphan was adopted by a kind couple.","这个孤儿被一对善良的夫妇收养了。"
bereft,bereft,"丧失的，被剥夺的","He was left bereft after the death of his wife.","他妻子去世后，他被剥夺了一切。"
siblings,sibling,"兄弟姐妹","I have two siblings, a brother and a sister.","我有两个兄弟姐妹，一个哥哥和一个妹妹。"
cousins,cousin,"表兄弟姐妹","I spent the summer with my cousins.","我夏天和我表兄弟姐妹一起度过。"
apes,ape,"猿类","Gorillas and orangutans are types of apes.","大猩猩和猩猩是猿类。"
relatives,relative,"亲戚","All my relatives came to the family reunion.","我所有的亲戚都来参加了家庭聚会。"
orang-utans,orang-utan,"猩猩","Orang-utans are native to Indonesia and Malaysia.","猩猩是印度尼西亚和马来西亚的本土动物。"
Closet,Closet,"壁橱","She kept her clothes in the closet.","她把衣服放在壁橱里。"
abundance,abundance,"丰富，充足","The forest has an abundance of wildlife.","森林里有丰富的野生动物。"
uncivilised,uncivilised,"未开化的，野蛮的","The explorers encountered an uncivilised tribe.","探险家们遇到一个未开化的部落。"
cousins,cousin,"表亲","He and his cousins are the same age.","他和他的表亲年龄相同。"
term,term,"术语，期限","The term of the contract is one year.","这份合同的期限是一年。"
Sapiens,Sapiens,"智人（Homo sapiens）","Homo Sapiens is the scientific name for modern humans.","Homo Sapiens是现代人类的学名。"
denote,denote,"表示，意味着","The red sign denotes danger.","红色的标志表示危险。"
Australopithecus,Australopithecus,"南方古猿","Australopithecus is an extinct genus of hominids.","南方古猿是一种已灭绝的人科。"
Southern,Southern,"南方的","The southern part of the country is warmer.","这个国家的南方更暖和。"
archaic,archaic,"古老的","The building was made in an archaic style.","这座建筑是以一种古老的风格建造的。"
settle,settle,"定居","The pioneers settled in the new land.","拓荒者在新土地上定居。"
vast,vast,"广阔的，巨大的","The desert is a vast and empty space.","沙漠是一个广阔而空旷的地方。"
traits,trait,"特征，特质","Patience is one of her best traits.","耐心是她最好的特质之一。"
Indonesia,Indonesia,"印度尼西亚","Indonesia is an archipelago of thousands of islands.","印度尼西亚是由数千个岛屿组成的群岛。"
steaming,steam,"蒸汽的，冒着蒸汽的","The steaming hot tea warmed my hands.","冒着蒸汽的热茶温暖了我的手。"
distinct,distinct,"独特的，截然不同的","The two paintings are in distinct styles.","这两幅画风格截然不同。"
assigned,assign,"分配的，指定的","The teacher assigned a new project to the students.","老师给学生们分配了一个新项目。"
pompous,pompous,"自命不凡的，浮夸的","His pompous speech was full of empty words.","他自命不凡的演讲充满了空洞的词语。"
siblings,sibling,"兄弟姐妹","The siblings look very alike.","这对兄弟姐妹长得非常像。"
speculative,speculative,"推测性的，投机的","The article was full of speculative claims.","这篇文章充满了推测性的说法。"
reconstructions,reconstruction,"重建，复原","The archaeologists made reconstructions of the ancient city.","考古学家们对这座古城进行了复原。"
rudolfensis,rudolfensis,"鲁道夫人","Homo rudolfensis is a species of archaic human.","鲁道夫人是一种古老的人类物种。"
erectus,erectus,"直立人","Homo erectus was an early human species that lived from 1.9 million years ago.","直立人是一种早期人类物种，生活在距今190万年前。"
neanderthalensis,neanderthalensis,"尼安德特人（学名）","Homo neanderthalensis is the scientific name for Neanderthals.","Homo neanderthalensis 是尼安德特人的学名。"
Neander,Neander,"尼安德（地名）","The Neanderthal valley is located in Germany.","尼安德特山谷位于德国。"
referred,refer,"提及，参考","He referred to the textbook for more information.","他参考了教科书以获取更多信息。"
Neanderthals,Neanderthal,"尼安德特人","Neanderthals were a separate species from modern humans.","尼安德特人是一个与现代人类不同的物种。"
bulkier,bulky,"更庞大的，更笨重的","He is bulkier than his brother.","他比他哥哥更庞大。"
muscular,muscular,"肌肉发达的","He has a very muscular body.","他有一个肌肉发达的身体。"
climate,climate,"气候","The climate of the region is changing.","这个地区的气候正在变化。"
Eurasia,Eurasia,"欧亚大陆","The trade route stretched across the entirety of Eurasia.","这条贸易路线横跨了整个欧亚大陆。"
‘Upright,‘Upright,"直立的","The human skeleton is designed for upright walking.","人类骨骼是为直立行走而设计的。"
durable,durable,"耐用的，持久的","This material is very durable.","这种材料非常耐用。"
league,league,"联盟，级别","He plays in the major league.","他在大联盟打球。"
island of Java,island of Java,"爪哇岛","Java is a volcanic island in Indonesia.","爪哇岛是印度尼西亚的一个火山岛。"
tropics,tropic,"热带地区","The tropics have a warm and humid climate.","热带地区气候温暖潮湿。"
Indonesian,Indonesian,"印度尼西亚的；印度尼西亚人","She speaks Indonesian fluently.","她能流利地说印度尼西亚语。"
Flores,Flores,"弗洛雷斯岛","Flores is an island in Indonesia.","弗洛雷斯是印度尼西亚的一个岛屿。"
archaic,archaic,"古老的","The machine uses an archaic operating system.","这台机器使用一个过时的操作系统。"
underwent,undergo,"经历，经受","She underwent a major transformation.","她经历了一次巨大的转变。"
dwar ng,dwarf,"矮化","The process of dwarfing a tree is a form of art.","矮化树木的过程是一种艺术形式。"
dwarves,dwarf,"矮人（dwarf的复数）","The dwarf miners lived in the mountains.","矮人矿工住在山里。"
metre,metre,"米","The swimming pool is 25 metres long.","游泳池有25米长。"
dwarf,dwarf,"矮人","He is a dwarf.","他是一个矮人。"
sibling,sibling,"兄弟姐妹","I have one sibling.","我有一个兄弟姐妹。"
oblivion,oblivion,"遗忘，湮没","His name faded into oblivion.","他的名字渐渐被人遗忘。"
excavating,excavate,"挖掘","Archaeologists are excavating the ancient site.","考古学家正在挖掘这个古老的遗址。"
Denisova,Denisova,"丹尼索瓦（地名）","Denisova Cave is in Siberia.","丹尼索瓦洞穴在西伯利亚。"
Siberia,Siberia,"西伯利亚","Siberia is a vast and cold region in Russia.","西伯利亚是俄罗斯一个广阔而寒冷的地区。"
fossilised,fossilise,"化石化的","They found a fossilised dinosaur bone.","他们发现了一块化石化的恐龙骨头。"
nger,finger,"手指","She hurt her finger playing basketball.","她打篮球时伤到了手指。"
bone,bone,"骨头","The human body has 206 bones.","人体有206块骨头。"
Genetic,Genetic,"基因的","Genetic research is advancing rapidly.","基因研究正在迅速发展。"
belonged,belong,"属于","The book belonged to my father.","这本书属于我父亲。"
climes,clime,"气候，地方","He traveled to warmer climes for the winter.","他冬天去了更温暖的地方。"
cradle,cradle,"摇篮；发源地","The cradle of civilization is often considered to be Mesopotamia.","文明的摇篮常被认为是美索不达米亚。"
nurture,nurture,"养育，培养","Parents should nurture their children's creativity.","父母应该培养孩子的创造力。"
Rudolf,Rudolf,"鲁道夫","Rudolf is a common German name.","鲁道夫是一个常见的德国名字。"
immodestly,immodest,"不谦虚地","He immodestly boasted about his accomplishments.","他不谦虚地吹嘘自己的成就。"
dwarves,dwarf,"矮人","In the fantasy novel, dwarves are skilled miners.","在奇幻小说中，矮人是技艺高超的矿工。"
fearsome,fearsome,"可怕的，吓人的","The dragon was a fearsome creature.","那条龙是一个可怕的生物。"
meek,meek,"温顺的，谦卑的","The meek student was too shy to speak up.","那个温顺的学生太害羞了，不敢说话。"
roamed,roam,"漫游，游荡","The animals roamed freely in the wild.","动物们在野外自由地漫游。"
continents,continent,"大陆","The world is made up of seven continents.","世界由七大洲组成。"
fallacy,fallacy,"谬论，错误的观念","It's a common fallacy that all spiders are dangerous.","认为所有蜘蛛都危险是一个常见的谬论。"
envision,envision,"设想，展望","She envisioned a future where everyone could live in peace.","她设想了一个每个人都能和平生活的未来。"
arranged,arrange,"安排，整理","She arranged the flowers in a vase.","她把花插在花瓶里。"
Ergaster,Ergaster,"匠人（Homo ergaster）","Homo ergaster is an extinct species of hominin.","匠人是一种已灭绝的人科物种。"
begetting,beget,"生育","He was credited with begetting the new generation.","他被认为是新一代的生育者。"
Erectus,Erectus,"直立人","Homo Erectus was the first hominin to leave Africa.","直立人是第一个离开非洲的人类祖先。"
impression,impression,"印象，感觉","He gave me a good first impression.","他给我留下了很好的第一印象。"
millennia,millennium,"千年（millennium的复数）","The ancient city has existed for millennia.","这座古城已经存在了数千年。"
exclusivity,exclusivity,"排他性，独占性","The club prides itself on its exclusivity.","这个俱乐部以其独占性而自豪。"
incriminating,incriminate,"定罪的，有罪的","The police found incriminating evidence in his car.","警方在他的车里发现了定罪的证据。"
siblings,sibling,"兄弟姐妹","The siblings have a close bond.","这对兄弟姐妹关系很亲密。"
Despite,Despite,"尽管，尽管","Despite the rain, we still went for a walk.","尽管下雨，我们还是去散步了。"
notably,notably,"尤其，特别","The report was well-written, notably the conclusion.","这份报告写得很好，尤其是结论部分。"
cubic,cubic,"立方的","The box has a volume of one cubic meter.","这个盒子有一立方米的体积。"
centimetres,centimetre,"厘米","The line is ten centimetres long.","这条线有十厘米长。"
earliest,early,"最早的","The earliest known writing system dates back to ancient Sumer.","已知最早的书写系统可以追溯到古苏美尔。"
sport,sport,"运动","Football is a popular sport.","足球是一项受欢迎的运动。"
enamoured,enamour,"迷恋的","He was enamoured with the beautiful painting.","他迷恋上了这幅美丽的画作。"
cerebral,cerebral,"大脑的，理智的","He is a cerebral person who loves to read.","他是一个喜欢阅读的理智型的人。"
feline,feline,"猫科动物的；猫","The feline predator hunted its prey.","这只猫科捕食者猎捕它的猎物。"
calculus,calculus,"微积分；结石","Calculus is a branch of mathematics.","微积分是数学的一个分支。"
jumbo,jumbo,"巨大的","They ordered a jumbo-sized pizza for the party.","他们为派对订了一个巨型披萨。"
drain,drain,"耗尽","The long journey drained all my energy.","漫长的旅程耗尽了我所有的能量。"
encased,encase,"包住，封装","The valuable jewel was encased in a glass box.","这颗珍贵的宝石被封装在一个玻璃盒子里。"
fuel,fuel,"燃料，助长","The fire was fueled by dry wood.","火被干木头助燃了。"
Archaic,Archaic,"古老的，过时的","The museum has a collection of archaic tools.","博物馆收藏了一系列古老的工具。"
atrophied,atrophy,"萎缩的","His muscles atrophied from lack of use.","他的肌肉因缺乏使用而萎缩了。"
diverting,divert,"转移，分散","He tried to divert my attention from the real problem.","他试图转移我的注意力，让我远离真正的问题。"
biceps,bicep,"肱二头肌","He worked out his biceps at the gym.","他在健身房锻炼他的肱二头肌。"
foregone,forego,"预先注定的","The victory was a foregone conclusion.","胜利是预先注定的。"
conclusion,conclusion,"结论","The conclusion of the experiment was unexpected.","实验的结论出乎意料。"
savannah,savannah,"稀树草原","Lions and giraffes live on the savannah.","狮子和长颈鹿生活在稀树草原上。"
rip,rip,"撕裂，扯裂","He was so angry he wanted to rip the letter to pieces.","他气得想把信撕成碎片。"
rag doll,rag doll,"布娃娃","The little girl hugged her rag doll.","小女孩抱着她的布娃娃。"
nicely,nice,"恰好地，很好地","The new sofa fits nicely in the living room.","新沙发恰好地摆在客厅里。"
wrestling,wrestle,"摔跤","He won the wrestling match.","他赢得了摔跤比赛。"
phenomenon,phenomenon,"现象","The Northern Lights are a natural phenomenon.","北极光是一种自然现象。"
int,int,"内在的，固有的","The int quality of the gem makes it valuable.","这颗宝石的内在品质使其有价值。"
knives,knife,"刀子（复数）","He sharpened the knives before cooking.","他在做饭前磨了刀子。"
sticks,stick,"棍子，树枝","The children played with sticks in the park.","孩子们在公园里玩棍子。"
precious,precious,"珍贵的，宝贵的","Time is a precious resource.","时间是宝贵的资源。"
drove,drive,"驱赶，驾驶（drive的过去式）","The shepherd drove the sheep into the pen.","牧羊人把羊群赶进了羊圈。"
singular,singular,"单一的，非凡的","He has a singular talent for music.","他有非凡的音乐才能。"
trait,trait,"特征，特质","Patience is one of her best traits.","耐心是她最好的特质之一。"
upright,upright,"直立的，正直的","The human skeleton is designed for upright walking.","人类骨骼是为直立行走而设计的。"
savannah,savannah,"稀树草原","Elephants roam the savannah in search of food.","大象在稀树草原上漫游觅食。"
locomotion,locomotion,"移动，运动","The study of human locomotion is a fascinating field.","人类移动的研究是一个引人入胜的领域。"
signalling,signal,"发出信号","The bird was signalling to its mate.","这只鸟在向它的配偶发出信号。"
brought about,bring about,"导致，引起","The discovery brought about a revolution in science.","这项发现引起了一场科学革命。"
concentration,concentration,"集中，专注","The concentration of toxins in the water is very high.","水中毒素的浓度非常高。"
nerves,nerve,"神经","The nerves in the hand allow us to feel touch.","手部的神经使我们能够感觉到触摸。"
nely,fine,"精细地，巧妙地","The clock was nely crafted by a master artisan.","这个时钟是由一位大师级工匠精细制作的。"
palms,palm,"手掌；棕榈树","The monkey has a strong grip in its palms.","猴子的手掌有很强的抓握力。"
intricate,intricate,"错综复杂的","The intricate design of the clock fascinated the children.","时钟错综复杂的设计吸引了孩子们。"
sophisticated,sophisticated,"复杂的，精致的","The technology is very sophisticated.","这项技术非常复杂。"
criteria,criterion,"标准（复数）","The criteria for judging the competition are very strict.","评判比赛的标准非常严格。"
archaeologists,archaeologist,"考古学家","Archaeologists are excavating an ancient city.","考古学家正在挖掘一座古城。"
recognise,recognise,"认出，承认","I didn't recognise him at first.","我一开始没有认出他。"
downside,downside,"缺点，不利面","The downside of living here is the long commute.","住在这里的缺点是通勤时间长。"
primate,primate,"灵长类动物","Monkeys and apes are primates.","猴子和猿是灵长类动物。"
fours,four,"四肢","The baby crawled on all fours.","婴儿四肢着地爬行。"
relatively,relative,"相对地","The price is relatively low.","价格相对较低。"
sca olding,sca olding,"脚手架","The workers are building a scaffolding around the building.","工人们正在建筑周围搭建脚手架。"
cranium,cranium,"头颅","The cranium protects the brain.","头颅保护大脑。"
lofty,lofty,"高耸的，崇高的","The mountain has a lofty peak.","这座山有一个高耸的山峰。"
industrious,industrious,"勤奋的，勤劳的","He is an industrious worker who always finishes his tasks on time.","他是一个勤奋的工人，总能按时完成任务。"
backaches,backache,"背痛","Backaches are a common problem for office workers.","背痛是上班族常见的问题。"
sti,stiff,"僵硬的","My neck is sti from sitting at the computer all day.","我整天坐在电脑前，脖子很僵硬。"
gait,gait,"步态","The horse had a graceful gait.","这匹马的步态很优雅。"
hips,hip,"臀部，髋部","She has strong hips from years of dancing.","她多年的舞蹈使她的臀部很强壮。"
constricting,constrict,"收缩的，紧缩的","The constricting jacket was too tight for me.","这件紧缩的夹克对我来说太紧了。"
canal,canal,"运河，管道","The Suez Canal is a major shipping route.","苏伊士运河是一条主要的航运路线。"
hazard,hazard,"危险，危害","Smoking is a health hazard.","吸烟对健康有害。"
relatively,relatively,"相对地","The new computer is relatively cheap.","这台新电脑相对便宜。"
supple,supple,"柔软的，柔韧的","The gymnast has a supple body.","这位体操运动员的身体很柔韧。"
fared,fare,"表现，进展","The team fared well in the competition.","这个团队在比赛中表现不错。"
consequently,consequently,"因此，所以","He was sick, and consequently, he missed the meeting.","他病了，因此错过了会议。"
favoured,favour,"偏爱的，受青睐的","The favored candidate won the election.","受青睐的候选人赢得了选举。"
prematurely,premature,"过早地","The baby was born prematurely.","这个婴儿早产了。"
vital,vital,"至关重要的，生命的","Oxygen is vital for life.","氧气对生命至关重要。"
colt,colt,"小马驹","The colt galloped in the field.","小马驹在田野里飞奔。"
trot,trot,"小跑","The horse started to trot.","马开始小跑起来。"
forage,forage,"觅食","The wild animals forage for food in the forest.","野生动物在森林里觅食。"
sustenance,sustenance,"食物，营养","The refugees were in need of sustenance.","难民们需要食物。"
Lone,Lone,"孤独的，单个的","A lone wolf hunts by itself.","一匹孤独的狼独自狩猎。"
tow,tow,"拖，拉","The car was being towed away.","这辆车被拖走了。"
constant,constant,"持续的，不变的","The constant noise from the street was annoying.","街上持续不断的噪音很烦人。"
tribe,tribe,"部落","The tribe lived in harmony with nature.","这个部落与自然和谐相处。"
favoured,favour,"受到偏爱","The eldest son was favoured by his father.","大儿子受到父亲的偏爱。"
capable,capable,"有能力的，能干的","She is capable of finishing the task on her own.","她有能力独自完成这项任务。"
ties,tie,"纽带，关系","They have strong family ties.","他们有很强的家庭纽带。"
underdeveloped,underdeveloped,"不发达的","The country has an underdeveloped economy.","这个国家的经济不发达。"
extent,extent,"程度，范围","To what extent do you agree with this statement?","你在多大程度上同意这个说法？"
glazed,glaze,"上釉的，玻璃的","The ceramic bowl has a beautiful glazed finish.","这个陶瓷碗有一个美丽的釉面。"
earthenware,earthenware,"陶器","The kitchen was filled with earthenware pots.","厨房里摆满了陶器罐子。"
kiln,kiln,"窑","The pottery was fired in a kiln.","陶器在窑里烧制。"
remoulding,remould,"重塑，改造","The company is remoulding its image.","公司正在重塑其形象。"
molten,molten,"熔化的","Molten metal was poured into the mold.","熔化的金属被倒入模具中。"
furnace,furnace,"熔炉，火炉","The furnace heated the whole factory.","熔炉为整个工厂供暖。"
spun,spin,"纺，旋转","The spider spun a web.","蜘蛛结了一个网。"
stretched,stretch,"拉伸，伸展","He stretched his arms after waking up.","他醒来后伸了伸手臂。"
surprising,surprise,"令人惊讶的","The news was surprising to everyone.","这个消息对所有人来说都是令人惊讶的。"
Christian,Christian,"基督教徒；基督教的","He is a devout Christian.","他是一个虔诚的基督教徒。"
Buddhist,Buddhist,"佛教徒；佛教的","He is a Buddhist monk.","他是一位佛教僧侣。"
capitalist,capitalist,"资本家；资本主义的","Capitalist countries have free market economies.","资本主义国家实行自由市场经济。"
socialist,socialist,"社会主义者；社会主义的","Socialist ideas emphasize equality.","社会主义思想强调平等。"
warlike,warlike,"好战的","The tribe had a warlike reputation.","这个部落以好战闻名。"
