name,trans,例文,例文翻译
Implicit,含蓄的/暗示的,There was an implicit agreement between the two companies.,两家公司之间存在一项默契协议。
Explicit,明确的,The teacher gave explicit instructions on how to format the essay.,老师就如何排版作文给出了明确的指示。
Hierarchy,等级制度,The social hierarchy of the colony was clearly defined.,该殖民地的社会等级制度定义非常明确。
Precursor,先驱/前兆,The small protest was a precursor to the major revolution.,小规模的抗议是大革命的前兆。
Sovereignty,主权,The nation fought to maintain its territorial sovereignty.,该国为维护其领土主权而战。
Urbanization,城市化,Urbanization has led to a decrease in agricultural land.,城市化导致了农用地的减少。
Demographics,人口统计特征,The demographics of the city have changed significantly over the years.,这些年来，这座城市的人口结构发生了显著变化。
Innovation,创新,Technical innovation is key to staying competitive in the market.,技术创新是在市场中保持竞争力的关键。
Rational,合理的/理性的,Is there a rational explanation for your decision?,你的决定有合理的解释吗？
Bias,偏见,The study was criticized for having a cultural bias.,该研究因具有文化偏见而受到批评。
Criteria,标准,The main criteria for the scholarship are academic excellence.,奖学金的主要标准是学业优秀。
Dimension,维度/方面,There is another dimension to the problem that we haven't considered.,这个问题还有另一个我们尚未考虑的维度。
Entity,实体,The two companies operate as separate legal entities.,这两家公司作为独立的法人实体运营。
Mechanism,机制,The mechanism of the lock is quite complicated.,锁的机制相当复杂。
Norm,规范/常态,Working from home has become the norm for many people.,在家办公已成为许多人的常态。
Parallel,平行的/类似的,There are many parallels between the two historical events.,这两个历史事件之间有许多相似之处。
Qualitative,定性的,The researchers conducted qualitative interviews with the participants.,研究人员对参与者进行了定性访谈。
Quantitative,定量的,Quantitative analysis is based on numerical data.,定量分析是基于数字数据的。
Scope,范围,The scope of the project is larger than we initially thought.,该项目的范围比我们最初设想的要大。
Underly,构成...的基础,Deep-seated fears underly much of his behavior.,根深蒂固的恐惧是他大部分行为的基础。
Utility,效用/实用,The utility of the new tool is still being debated.,这个新工具的效用仍在讨论中。
Variable,变量,Temperature is an important variable in this experiment.,温度是本实验中的一个重要变量。
Voluntary,自愿的,Participation in the survey is entirely voluntary.,参加调查完全是自愿的。
Widespread,广泛的,There is widespread concern about the impact of climate change.,人们对气候变化的影响存在广泛的担忧。
Analogous,类似的,The heart is analogous to a pump.,心脏类似于泵。
Coherent,连贯的,The witness gave a coherent account of the accident.,证人对事故给出了连贯的陈述。
Discrete,离散的/不连续的,The data is broken down into discrete categories.,数据被分解为离散的类别。
Enormous,巨大的,The project required an enormous amount of time and effort.,该项目需要大量的时间和精力。
Inherent,固有的,There are inherent risks in any investment.,任何投资都存在固有风险。
Intrinsic,本质的/内在的,Hard work is intrinsic to success.,努力工作是成功的本质要求。
Passive,被动的,Students should not be passive learners in the classroom.,学生在课堂上不应是被动学习者。
Refined,精炼的/雅致的,The theory was refined after more research was conducted.,在进行了更多研究后，该理论得到了完善。
Subordinate,下属的/从属的,In many societies women were historically subordinate to men.,在许多社会中，女性在历史上一直从属于男性。
Versatile,多功能的,The new software is extremely versatile and easy to use.,这款新软件功能极其多样且易于使用。
Acknowledge,承认,The professor acknowledged that the test was difficult.,教授承认考试很难。
Acquire,获得,She acquired a lot of knowledge during her stay in London.,她在伦敦逗留期间获得了大量知识。
Adapt,适应,It takes time to adapt to a new culture.,适应一种新文化需要时间。
Advocate,主张,They advocate for stricter environmental regulations.,他们主张实行更严格的环境法规。
Analyze,分析,Scientists analyze the samples in the laboratory.,科学家在实验室里分析样本。
Appreciate,感激/赏识,I would appreciate it if you could reply by Friday.,如果你能在周五前回复，我将不胜感激。
Assess,评估,The committee will assess the impact of the new policy.,委员会将评估新政策的影响。
Assume,假定,Let's assume that the plan is successful.,让我们假设这个计划是成功的。
Clarify,澄清,I need to clarify some points in the contract.,我需要澄清合同中的一些要点。
Communicate,沟通,Good leaders know how to communicate effectively.,优秀的领导者知道如何有效沟通。
Compare,比较,Compare your answers with those of your partner.,将你的答案与搭档的答案进行比较。
Conclude,得出结论,The researchers concluded that the drug was effective.,研究人员得出结论，该药物是有效的。
Conduct,进行,We will conduct a survey to gather student opinions.,我们将进行一项调查以收集学生的意见。
Confirm,确认,Please confirm your attendance by email.,请通过邮件确认你的出席。
Consider,考虑,We are considering moving to a larger office.,我们正在考虑搬到更大的办公室。
Consist,由...组成,The committee consists of ten members.,委员会由十名成员组成。
Construct,建造/构建,The bridge was constructed in the 19th century.,这座桥建于19世纪。
Consult,咨询,You should consult a specialist before making a decision.,在做决定之前，你应该咨询专家。
Contrast,对比,Contrast the different styles of the two painters.,对比这两位画家不同的风格。
Contribute,贡献,Every member of the team contributed to the success.,团队的每一位成员都为成功做出了贡献。
Coordinate,协调,We need to coordinate our efforts to finish the project.,我们需要协调努力来完成这个项目。
Define,定义,How would you define the term "success"?,你会如何定义“成功”这个词？
Demonstrate,演示/证明,The experiment demonstrates the laws of physics.,这个实验证明了物理定律。
Describe,描述,Describe the person you admire most.,描述你最钦佩的人。
Design,设计,He designed the building's interior.,他设计了这栋建筑的室内装修。
Determine,决定/确定,The weather will determine whether we go or not.,天气将决定我们是否出发。
Develop,发展,The company is developing a new line of products.,公司正在开发一系列新产品。
Discuss,讨论,We will discuss the topic in the next class.,我们将在下一节课讨论这个话题。
Distinguish,区分,It's hard to distinguish between the two colors.,很难区分这两个颜色。
Effect,影响/效果,The new law will have a major effect on the economy.,新法律将对经济产生重大影响。
Emphasize,强调,The teacher emphasized the importance of regular practice.,老师强调了定期练习的重要性。
Enable,使能够,Technology enables us to communicate across borders.,技术使我们能够跨国界沟通。
Encourage,鼓励,Parents should encourage their children to read more.,父母应该鼓励孩子多读书。
Ensure,确保,Please ensure that all the doors are locked.,请确保所有的门都锁好了。
Establish,建立,The school was established in 1920.,这所学校建于1920年。
Evaluate,评估,The judges will evaluate each performance.,评委将评估每一场表演。
Examine,检查/调查,The doctor examined the patient carefully.,医生仔细检查了病人。
Explain,解释,Can you explain how this machine works?,你能解释一下这台机器是怎么运作的吗？
Explore,探索,We need to explore all possible solutions.,我们需要探索所有可能的解决方案。
Focus,聚焦,The lecture will focus on modern history.,讲座将聚焦于现代史。
Identify,识别,Can you identify the person in the photo?,你能认出照片里的那个人吗？
Illustrate,说明/插图,The teacher used a diagram to illustrate the point.,老师用图表来说明这一点。
Implement,实施,The government is planning to implement new tax laws.,政府正计划实施新的税收法律。
Improve,改进,I want to improve my English speaking skills.,我想提高我的英语口语技能。
Include,包括,The price includes tax and shipping.,价格包括税费和运费。
Increase,增加,The population of the city is increasing rapidly.,这座城市的人口正在迅速增加。
Indicate,表明,A high fever indicates an infection.,高烧表明有感染。
Influence,影响,His parents had a big influence on his career choice.,他的父母对他的职业选择有很大影响。
Inform,通知,Please inform us of any changes to your schedule.,如果你的日程有变，请通知我们。
Integrate,整合,The new system integrates all the different departments.,新系统整合了所有不同的部门。
Interpret,口译/解释,He interpreted the speech for the foreign visitors.,他为外宾口译了演说。
Investigate,调查,The scientists are investigating the new phenomenon.,科学家们正在调查这一新现象。
Involve,涉及/包含,The project involves a lot of research.,这个项目涉及大量的研究。
Justify,证明...合法/合理,How can you justify the cost of this project?,你如何证明这个项目的成本是合理的？
Maintain,维持/保持,It's important to maintain a healthy lifestyle.,保持健康的生活方式很重要。
Manage,管理,She manages a team of twenty people.,她管理着一个二十人的团队。
Measure,测量,We need to measure the dimensions of the room.,我们需要测量房间的尺寸。
Modify,修改,The plan was modified based on the feedback.,计划根据反馈进行了修改。
Monitor,监控,The security system monitors the entire building.,安保系统监控着整栋建筑。
Motivate,激励,The coach knows how to motivate the players.,教练知道如何激励球员。
Observe,观察,Scientists observe the behavior of animals in the wild.,科学家观察野生动物的行为。
Obtain,获得,You need to obtain a permit before starting the work.,在开始工作前，你需要获得许可证。
Organize,组织,We are organizing a charity event next month.,我们下个月正在组织一场慈善活动。
Participate,参加,Many students participate in extracurricular activities.,许多学生参加课外活动。
Perceive,感知/察觉,He perceived a change in her attitude.,他察觉到她态度的变化。
Perform,表演/执行,The surgeon performed the operation successfully.,外科医生成功地执行了手术。
Persuade,说服,I tried to persuade him to join our team.,我试图说服他加入我们的团队。
Predict,预测,It's hard to predict the future.,很难预测未来。
Prepare,准备,The students are preparing for the final exam.,学生们正在准备期末考试。
Present,呈现/介绍,She presented her research at the conference.,她在会议上介绍了她的研究。
Promote,晋升/促进,The company is promoting a new brand of coffee.,公司正在推广一种新品牌的咖啡。
Propose,建议,The committee proposed a new set of rules.,委员会建议了一套新规则。
Provide,提供,The school provides free lunch for all students.,学校为所有学生提供免费午餐。
Publish,出版,The book was published last year.,这本书是去年出版的。
Recognize,识别/认可,I didn't recognize him at first.,我起初没认出他。
Reduce,减少,We need to reduce our carbon footprint.,我们需要减少碳足迹。
Reflect,反映/思考,The mirror reflects the light.,镜子反射光线。
Regulate,调节/管制,The government regulates the banking industry.,政府管制银行业。
Reinforce,加强,The teacher reinforced the lesson with more examples.,老师通过更多的例子加强了课程内容。
Reject,拒绝,The proposal was rejected by the board.,提议被董事会拒绝了。
Relate,联系,How does this topic relate to the previous one?,这个话题与前一个有什么联系？
Release,释放/发布,The film was released in early June.,影片于六月初上映。
Rely,依靠,We rely on technology for almost everything.,我们几乎在所有事情上都依赖技术。
Remove,移除,Please remove your shoes before entering.,进入前请脱鞋。
Require,要求,The job requires a high level of skill.,这份工作要求很高的技能水平。
Research,研究,Scientists are researching a cure for the disease.,科学家正在研究治愈这种疾病的方法。
Respond,回应,He didn't respond to my email.,他没有回我的邮件。
Select,选择,Please select the best answer from the options.,请从选项中选择最佳答案。
Simulate,模拟,The flight simulator simulates real flying conditions.,飞行模拟器模拟真实的飞行条件。
Solve,解决,We need to solve this problem as soon as possible.,我们需要尽快解决这个问题。
Specify,指定/具体说明,Please specify which color you would like.,请说明你想要哪种颜色。
Stimulate,刺激/激励,The new policy aims to stimulate economic growth.,新政策旨在刺激经济增长。
Study,学习/研究,He is studying for a master's degree.,他正在攻读硕士学位。
Succeed,成功,If you work hard you will succeed.,如果你努力工作，你就会成功。
Suggest,建议,I suggest that we take a break.,我建议我们休息一下。
Summarize,总结,Can you summarize the main points of the article?,你能总结一下这篇文章的要点吗？
Support,支持,The evidence supports the theory.,证据支持该理论。
Survey,调查,We surveyed 500 people for the study.,我们为这项研究调查了500人。
Target,瞄准/目标,The advertising campaign targets young adults.,广告活动的目标受众是年轻人。
Transform,转换/改变,Technology has transformed the way we live.,技术改变了我们的生活方式。
Translate,翻译,The book has been translated into twenty languages.,这本书已被翻译成二十种语言。
Understand,理解,I don't understand what you mean.,我不明白你的意思。
Update,更新,Don't forget to update your software.,别忘了更新你的软件。
Verify,验证,We need to verify the accuracy of the data.,我们需要验证数据的准确性。

