name,trans,例文,例文翻译
Grant,拨款/授予,The government provided a research grant.,政府提供了一笔研究拨款。
Gravity,重力/严重性,The earth's gravity pulls objects toward the center.,地球引力将物体向中心拉。
Habitat,栖息地,The forest is the natural habitat of many animals.,森林是许多动物的天然栖息地。
Hazard,危险,Toxic waste is a hazard to human health.,有毒废物对人类健康是一个危害。
Hierarchy,等级制度,The company has a clear management hierarchy.,公司有明确的管理等级制度。
Highlight,强调/亮点,The report highlights the main problems.,报告强调了主要问题。
Incentive,激励,The prize acted as an incentive for the students.,奖品对学生起到了激励作用。
Incorporate,纳入/包含,The new design incorporates several changes.,新设计包含了几项改动。
Indicate,表明,A red light indicates that the machine is on.,红灯表明机器已开启。
Innovation,创新,The company is known for its technical innovation.,该公司以其技术创新而闻名。
Insight,洞察力,The book gives insight into human nature.,这本书提供了对人性的洞察。
Inspect,检查,The bridge is inspected regularly for safety.,大桥定期进行安全检查。
Integrate,整合,The new system integrates all the data.,新系统整合了所有数据。
Integrity,诚信/完整性,He is a man of great personal integrity.,他是一个非常有诚信的人。
Intense,剧烈的,The heat in the desert can be very intense.,沙漠里的酷热可能非常剧烈。
Interact,互动,The students are encouraged to interact with each other.,鼓励学生相互互动。
Interpret,解释/理解,It's difficult to interpret the meaning of the poem.,很难解释这首诗的意义。
Interval,间隔,The bells ring at ten-minute intervals.,铃声每隔十分钟响一次。
Intrinsic,本质的/固有的,Music is an intrinsic part of the culture.,音乐是该文化本质的一部分。
Isolate,隔离,The patient was isolated to prevent infection.,病人被隔离以防止感染。
Issue,问题/议题,The main issue is a lack of funding.,主要问题是缺乏资金。
Journal,期刊/日志,He publishes his research in scientific journals.,他在科学期刊上发表研究成果。
Label,标签,Each bottle was marked with a clear label.,每个瓶子都贴有清晰的标签。
Layer,层,The cake has three layers of chocolate.,蛋糕有三层巧克力。
Legal,法律的,You should seek legal advice.,你应该寻求法律建议。
Link,链接/联系,There is a clear link between poverty and crime.,贫困与犯罪之间有明显的联系。
Logic,逻辑,There is a certain logic to her argument.,她的论证有一定的逻辑。
Maintain,维持/保持,It's important to maintain a healthy weight.,保持健康的体重很重要。
Manifest,表现/显现,The disease manifests itself in a skin rash.,这种疾病表现为皮疹。
Mechanism,机制,The clock mechanism is very delicate.,钟表的机制非常精致。
Media,媒体,The event was covered by the national media.,国家媒体报道了这一事件。
Mental,心理的,Mental health is as important as physical health.,心理健康和身体健康一样重要。
Migrate,迁移,Many birds migrate south for the winter.,许多鸟类在冬天迁徙到南方。
Military,军事的,The country has a large military force.,这个国家拥有一支庞大的军事力量。
Minor,较小的/次要的,The pilot made some minor adjustments.,飞行员做了一些微调。
Modify,修改,The software was modified to work on tablets.,软件经过修改以在平板电脑上运行。
Monitor,监控,The system monitors the building's temperature.,系统监控建筑物的温度。
Mutual,相互的,The two countries have a mutual goal.,两国有一个共同的目标。
Negative,消极的/负面的,Smoking has a negative effect on your health.,吸烟对你的健康有负面影响。
Network,网络,The company has a global network of offices.,公司拥有全球办公网络。
Neutral,中立的,Switzerland remained neutral during the war.,瑞士在战争期间保持中立。
Nevertheless,尽管如此,It was late; nevertheless, we finished the work.,很晚了；尽管如此，我们还是完成了工作。
Norm,规范/常态,Working from home has become the norm.,在家办公已成为常态。
Objective,目标/客观的,Our main objective is to reduce costs.,我们的主要目标是降低成本。
Observe,观察,Scientists observe the movements of stars.,科学家观察星星的运动。
Obtain,获得,You must obtain permission before leaving.,离开前必须获得许可。
Occupy,占据,The enemy army occupied the city.,敌军占领了这座城市。
Occur,发生,The accident occurred yesterday afternoon.,事故发生在昨天下午。
Option,选项,You have the option to study abroad.,你可以选择出国留学。
Outcome,结果,The outcome of the meeting was positive.,会议的结果是积极的。
Output,产出,The factory's output has increased this year.,工厂的产量今年增加了。
Passive,被动的,Students should not be passive in class.,学生在课堂上不应是被动的。
Perceive,感知/察觉,He perceived a change in the atmosphere.,他察觉到气氛发生了变化。
Perspective,观点/视角,Try to see the problem from my perspective.,试着从我的角度来看这个问题。
Phase,阶段,The project is in its final phase.,项目处于最后阶段。
Phenomenon,现象,Snow is a common weather phenomenon.,雪是一种常见的天气现象。
Philosophy,哲学,He studied philosophy at the university.,他在大学学习哲学。
Physical,物理的/身体的,The physical world consists of matter and energy.,物理世界由物质和能量组成。
Potential,潜在的,She has the potential to be a great artist.,她有成为伟大艺术家的潜力。
Precise,精确的,We need precise measurements for the experiment.,实验需要精确的测量。
Predict,预测,It's hard to predict the future.,很难预测未来。
Primary,主要的,The primary goal is to save lives.,主要目标是挽救生命。
Principle,原则/原理,He is a man of strong moral principles.,他是一个有很强道德原则的人。
Prior,优先的/在先的,No prior knowledge of the subject is required.,不需要该学科的预备知识。
Priority,优先事项,Education is our top priority.,教育是我们的首要任务。
Process,过程,The process of making wine is complicated.,酿酒的过程很复杂。
Professional,专业的,He is a professional musician.,他是一位专业音乐家。
Profit,利润,The company made a small profit this year.,公司今年赚了点小利。
Promote,促进/推广,The goal is to promote world peace.,目标是促进世界和平。
Proportion,比例,A large proportion of the students are foreign.,很大一部分学生是外国人。
Prospect,前景,The job prospects are good in this field.,这个领域的工作前景很好。
Psychology,心理学,She is studying child psychology.,她正在研究儿童心理学。
Purchase,购买,You can purchase tickets online.,你可以在网上买票。
Pursue,追求,He decided to pursue a career in law.,他决定从事法律职业。
Range,范围,The store sells a wide range of goods.,这家商店销售各种各样的商品。
Ratio,比率,The ratio of boys to girls is two to one.,男女生的比例是二比一。
Rational,理性的/合理的,There must be a rational explanation.,一定有一个合理的解释。
React,反应,How did he react to the news?,他对这个消息有什么反应？
Recover,恢复,He is recovering from a serious illness.,他正在重病康复中。
Regulate,调节/管制,The government regulates the industry.,政府管制该行业。
Reject,拒绝,The proposal was rejected by the board.,提议被董事会拒绝了。
Relevant,相关的,Please provide all relevant information.,请提供所有相关信息。
Reliable,可靠的,He is a very reliable employee.,他是一位非常可靠的雇员。
Rely,依靠,We rely on the sun for light and heat.,我们依靠太阳获得光和热。
Remove,移除,Please remove your hat inside.,请在室内摘掉帽子。
Require,要求,The job requires a lot of travel.,这份工作要求经常出差。
Respond,回应,The company responded quickly to the crisis.,公司对危机做出了迅速回应。
Reverse,扭转/相反的,The decision was reversed after an appeal.,在上诉后，决定被扭转了。
Role,角色,The teacher plays a key role in education.,教师在教育中起着关键作用。
Schedule,日程/安排,I have a very busy schedule today.,我今天的日程非常忙。
Scope,范围,The scope of the investigation is very broad.,调查的范围非常广。
Section,部分,The report is divided into four sections.,报告分为四个部分。
Secure,安全的/获得,The building is very secure.,这栋建筑非常安全。
Select,选择,Please select the best answer.,请选择最佳答案。
Sequence,顺序,The numbers are in a specific sequence.,这些数字按特定顺序排列。
Shift,转移/改变,There has been a shift in public opinion.,公众舆论发生了转变。
Similar,相似的,The two cars are very similar.,这两辆车非常相似。
Site,地点/遗址,The site was chosen for the new school.,该地点被选为新学校的地址。
Source,来源,The sun is our main source of energy.,太阳是我们主要的能量来源。
Stable,稳定的,The patient's condition is stable.,病人的情况稳定。
Status,地位/状态,What is the current status of the project?,项目的当前状态是什么？
Structure,结构,The building has a solid structure.,这栋建筑结构牢固。
Submit,提交,Please submit your report by Friday.,请在周五前提交报告。
Summary,总结,The report provides a summary of the findings.,报告提供了调查结果的总结。
Survey,调查,We conducted a survey of local residents.,我们对当地居民进行了调查。
Sustain,维持/支持,The company managed to sustain its growth.,公司成功维持了增长。
Symbol,符号/象征,The dove is a symbol of peace.,鸽子是和平的象征。
Technical,技术的,The project requires technical expertise.,该项目需要技术专长。
Technology,技术,Technology has changed our lives.,技术改变了我们的生活。
Temporary,暂时的,The closure of the road is temporary.,道路封闭是暂时的。
Trend,趋势,There is a trend toward healthy eating.,有一种健康饮食的趋势。
Unique,独特的,Every snowflake is unique.,每一片雪花都是独特的。
Unit,单位,The meter is a unit of length.,米是长度单位。
Urban,城市的,More people are moving to urban areas.,更多的人正搬往城市地区。
Variable,变量,Temperature is an important variable.,温度是一个重要的变量。
Variation,变异/变化,There is a lot of variation in the weather.,天气有很多变化。
Volume,卷/体积/音量,The library has a large volume of books.,图书馆藏书量巨大。
Yield,产出/屈服,The investment yielded a high return.,这项投资带来了高回报。
