name,trans,例文,例文翻译
Disseminate,传播,The goal of the journal is to disseminate new scientific findings.,该期刊的目标是传播新的科学发现。
Diffusion,扩散/传播,The diffusion of new ideas was accelerated by the internet.,新思想的传播由于互联网而加速。
Digression,离题,The professor apologized for the long digression during the lecture.,教授为讲座中长时间的离题表示道歉。
Laundry,洗衣店/待洗衣服,I need to do my laundry before I go back to school.,回学校之前我得把衣服洗了。
Exodus,大批离去,The war caused a massive exodus of refugees to neighboring countries.,战争导致大批难民逃往邻国。
Leisure,休闲/安逸,At your leisure please review the attached document.,请在您空闲时审阅随附的文件。
Herald,预兆/宣布,The blooming of cherry blossoms heralds the arrival of spring.,樱花的盛开预示着春天的到来。
Skim,略读/撇去,I didn't have time to read the book so I just skimmed it.,我没时间读那本书，所以只是略读了一下。
Curve,曲线/弯曲,The car sped around the sharp curve in the road.,汽车在道路的急转弯处加速行驶。
Dwarf,使相形见绌/矮小的,The giant skyscraper dwarfs all the other buildings in the city.,巨大的摩天大楼使城市中所有其他建筑都显得矮小。
Grudge,怨恨/不满,He still holds a grudge against his former business partner.,他仍然对以前的商业伙伴怀恨在心。
Disinterest,公正/无兴趣,The judge's disinterest was essential for a fair trial.,法官的公正无私对于公正的审判至关重要。
Lunge,冲/扑,The fencer made a sudden lunge at his opponent.,击剑手突然向对手刺去。
Revenue,收入/税收,The company's revenue has increased significantly this year.,公司今年的收入大幅增加。
Mar,损毁/毁坏,The beauty of the landscape was marred by the new factory.,自然风景的美丽被那座新工厂破坏了。
Strip,剥去/条,The bark was stripped from the tree to make paper.,树皮被剥下来造纸。
Zealous,热心的/狂热的,The young scientist was zealous in her pursuit of knowledge.,那位年轻的科学家对知识的追求非常热心。
Ethical,伦理的/道德的,The study must follow strict ethical guidelines.,该研究必须遵循严格的伦理准则。
Recognition,识别/认可,The software has advanced facial recognition capabilities.,该软件具有先进的面部识别能力。
Bait,饵/诱惑,The fisherman used a small worm as bait to catch the fish.,渔夫用一条小虫子当饵来钓鱼。
Convene,召集/开会,The committee will convene next week to discuss the budget.,委员会下周将开会讨论预算。
Assimilate,吸收/同化,New students need time to assimilate into the university culture.,新生需要时间来融入大学文化。
Comparable,可比的/类似的,The two products are comparable in terms of quality and price.,这两个产品在质量和价格方面是类似的。
Forward,向前/转发,Please forward this email to the rest of the team.,请将此邮件转发给团队的其他成员。
Melanin,黑色素,Melanin is the pigment that determines the color of our skin.,黑色素是决定我们皮肤颜色的色素。
Monopoly,垄断,The company has a monopoly on the local water supply.,该公司垄断了当地的供水。
Nonetheless,尽管如此,The work was difficult; nonetheless he finished it on time.,工作很困难；尽管如此，他还是按时完成了。
Literacy,识字/读写能力,The government is working to improve adult literacy rates.,政府正致力于提高成年人的识字率。
Credit,信用/学分,I need to earn more credits to graduate next year.,我需要获得更多学分才能在明年毕业。
Alter,改变,The landscape has been significantly altered by humans.,景观已被人类显著改变。
Blend,混合,The artist used a brush to blend the different colors.,艺术家用画笔混合不同的颜色。
Approximation,近似值,The figure is just an approximation of the final cost.,该数字只是最终成本的一个近似值。
Compass,指南针/罗盘,The explorers used a compass to find their way in the forest.,探险家们在森林里用指南针找路。
Grain,谷物/纹理,Rice is a major grain crop in many parts of the world.,大米是世界上许多地方的主要粮食作物。
Syllable,音节,The word "computer" has three syllables.,“computer”这个词有三个音节。
Comedy,喜剧,The play is a lighthearted comedy about a mix-up at a hotel.,这出戏是一部关于旅馆误会的轻松喜剧。
Soloist,独奏者,The famous pianist performed as a soloist with the orchestra.,那位著名的钢琴家作为独奏者与管弦乐队一起演出。
Dispose,处理/处置,Please dispose of your waste in the bins provided.,请将垃圾丢入提供的垃圾桶中。
Disconcert,使不安/困惑,The sudden change in plans disconcerted many of the guests.,计划的突然改变使许多客人感到不安。
Waste,浪费/废物,We should try to reduce the amount of waste we produce.,我们应该努力减少产生的垃圾量。
Paradigm,范式/典范,The discovery led to a paradigm shift in the field of physics.,这一发现导致了物理学领域的范式转变。
Fraudulent,欺诈的,The company was accused of making fraudulent claims about its products.,该公司被指控对其产品进行欺诈性宣传。
Oversleep,睡过头,I overslept this morning and missed my first class.,我今天早上睡过头了，错过了第一节课。
Physical,物理的/身体的,Regular physical exercise is important for overall health.,定期体育锻炼对整体健康很重要。
Bald,秃头的,He started to go bald when he was in his late twenties.,他在二十多岁快结束时开始变秃。
Fidelity,忠诚/保真度,The high-fidelity recording captured every detail of the music.,高保真录音捕捉到了音乐的每一个细节。
Poetic,诗歌的,The novel is written in a beautiful and poetic style.,这部小说是以一种优美而富有诗意的风格写成的。
Balk,犹豫/阻碍,The horse balked at the high fence and refused to jump.,那匹马在高栅栏前犹豫了，拒绝跳过去。
Incursion,入侵/侵犯,The border guards were alert to any potential incursion.,边境卫兵对任何潜在的入侵保持警惕。
Mania,狂热/狂躁,The pop star's arrival caused a state of mania among his fans.,那位流行歌星的到来引起了粉丝们的狂热。
Oratorio,清唱剧,The choir performed a famous oratorio by Handel.,合唱团演唱了韩德尔的一首著名的清唱剧。
Conceive,构思/怀孕,It is hard to conceive of a world without the internet.,很难想象一个没有互联网的世界。
Categorize,分类,The library books are categorized by subject area.,图书馆的书籍按主题领域进行分类。
Threat,威胁,Pollution is a major threat to the survival of many species.,污染是对许多物种生存的主要威胁。
Tyrannical,暴虐的,The citizens rebelled against the tyrannical ruler.,公民们反抗那个残暴的统治者。
Lodge,存放/住宿,The bone fragment was lodged deep in the patient's muscle.,骨碎片深嵌在病人的肌肉中。
Ripen,成熟,The grapes are left to ripen on the vine.,葡萄被留在藤上成熟。
Opal,蛋白石,The ring featured a beautiful opal that shimmered in the light.,戒指上镶嵌着一颗美丽的蛋白石，在光线下闪闪发光。
Devoid,缺乏的,The surface of the moon is devoid of any life.,月球表面没有任何生命。
Inform,通知/告知,Please inform us of any changes to your schedule.,如果您的日程有变，请通知我们。
Fortify,加强/巩固,The city walls were fortified to resist enemy attacks.,城墙被加固以抵御敌人的攻击。
Thread,线,The tailor used a silk thread to sew the delicate fabric.,裁缝用丝线缝制精致的面料。
Authentic,真实的/地道的,The museum has a collection of authentic ancient artifacts.,博物馆收藏了一些真实的古代文物。
