name,trans,例文,例文翻译
External,外部的,The university invited an external expert to evaluate the program.,大学邀请了一位外部专家来评估该项目。
Facilitate,促进/便利,The new online portal will facilitate communication between students and staff.,新的在线门户将便利学生与教职员之间的沟通。
Faculty,全体教员/学院,The faculty of engineering is known for its research excellence.,工程学院以其卓越的研究而闻名。
Feasible,可行的,The professor agreed that the proposed study was feasible.,教授同意所提议的研究是可行的。
Financial,财务的,The university offers financial aid to students in need.,大学为有需要的学生提供经济援助。
Formal,正式的,It is important to use a formal tone when emailing professors.,给教授发邮件时使用正式语气很重要。
Format,格式,Please follow the required format for your research paper.,请遵循研究论文要求的格式。
Function,功能,The main function of the software is to filter neural noise.,该软件的主要功能是过滤神经噪声。
Fund,资金/资助,The research was funded by a grant from the government.,该研究由政府的一笔拨款资助。
Gap,间隙/差距,The study aims to fill the gap in current BCI research.,该研究旨在填补目前脑机接口研究的空白。
Gateway,网关/入口,The portal serves as a gateway to all university online services.,该门户是通往大学所有在线服务的入口。
Gather,收集/聚集,We need to gather more data before we can reach a conclusion.,在得出结论前，我们需要收集更多数据。
Gender,性别,The survey asks for basic demographic information including gender.,调查要求提供基本的人口统计信息，包括性别。
General,普遍的/将军,There is a general consensus that BCI technology will transform medicine.,大家普遍认为脑机接口技术将改变医学。
Generate,产生,The solar panels generate enough energy to power the entire lab.,太阳能电池板产生的能量足以供整个实验室使用。
Generic,通用的/一般的,The email was sent with a generic greeting "Dear Student".,邮件使用了通用的问候语，“亲爱的同学”。
Genuine,真正的/真诚的,The professor showed a genuine interest in my career plans.,教授对我的职业规划表现出了真诚的兴趣。
Geography,地理,The students studied the geography of the region before the field trip.,学生在实地考察前学习了该地区的地理。
Gesture,手势/表示,Sending a thank-you note is a nice gesture after an interview.,面试后寄一封感谢信是一种很好的表示。
Goal,目标,My ultimate goal is to apply BCI to elderly rehabilitation.,我的终极目标是将脑机接口应用于老年人康复。
Grade,年级/成绩,I am satisfied with the grades I received this semester.,我对这学期取得的成绩感到满意。
Graduate,毕业生/毕业,He is a graduate of a prestigious university in Japan.,他是日本一所著名大学的毕业生。
Grant,授予/同意,The professor granted my request for a late submission.,教授同意了我迟交作业的请求。
Graphic,形象的/图解的,The report includes several graphics to illustrate the data.,报告包含几个图表来说明数据。
Grievance,不满/委屈,The student union helps students address their grievances with the university.,学生会帮助学生处理对大学的不满。
Guarantee,保证,The company guarantees the security of all user data.,公司保证所有用户数据的安全。
Guideline,准则/指南,Please follow the safety guidelines while working in the lab.,在实验室工作时请遵守安全准则。
Handout,讲义,The professor distributed a handout with the key points of the lecture.,教授分发了一份印有讲座要点的讲义。
Harassment,骚扰,The university has a zero-tolerance policy for any form of harassment.,大学对任何形式的骚扰都持零容忍政策。
Hazardous,危险的,Please handle the hazardous chemicals with extreme care.,请极其小心地处理危险化学品。
Headquarters,总部,The company's headquarters are located in the center of Tokyo.,公司总部位于东京市中心。
